Chrom	Start	End	Strand	Feature	H37rv_GeneID	Symbol	Functional_Category	Gene_Cat_V2	N_Pos	N_Neg	Total	Positive_Proportion	Middle	Length	AnyPosEpitope	Antigen_LVL2	N_HmRegion	HasHmRegion	AntigenLVL2_And_HHR_Comb	pGCE_Ovrlap	mGCE_Ovrlap	Total_NS_Muts	Total_NS_Muts_InEpitope	Total_NS_Muts_BymGCE	Total_NS_Muts_BypGCE	Total_NS_Muts_BymGCE_InEpitope	Total_NS_Muts_BypGCE_InEpitope	RelFreq_NS_Muts	RelFreq_NS_Mut_InEpitope	Has_mGCE	Has_mGCE_WiNSMut	Has_mGCE_WiNSMut_InEpitope	Has_pGCE	Has_pGCE_WiNSMut	Has_pGCE_WiNSMut_InEpitope
NC_000962.3	1160543	1160828	-	CDS	Rv1037c	esxI	cell wall and cell processes	esx	10	9	19	0.5263157894736842	1160685.5	285	True	True	1	True	Antigen-HHR	0	0	3.0	3.0	0.0	0.0	0.0	3.0	3.1578947368421053	3.1578947368421053	False	False	False	False	False	True
NC_000962.3	1160854	1161151	-	CDS	Rv1038c	esxJ	cell wall and cell processes	esx	11	7	18	0.6111111111111112	1161002.5	297	True	True	1	True	Antigen-HHR	0	0	1.0	1.0	0.0	0.0	0.0	1.0	1.0101010101010102	1.0101010101010102	False	False	False	False	False	True
NC_000962.3	1169422	1170670	+	CDS	Rv1047	Rv1047	insertion seqs and phages	insertion seqs and phages	3	5	8	0.375	1170046.0	1248	True	True	1	True	Antigen-HHR	0	0	11.0	2.0	0.0	0.0	0.0	11.0	2.644230769230769	0.4807692307692307	False	False	False	False	False	True
NC_000962.3	1339002	1339302	+	CDS	Rv1195	PE13	PE/PPE	PE/PPE	2	0	2	1.0	1339152.0	300	True	True	1	True	Antigen-HHR	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	False	False	False	False
NC_000962.3	1339348	1340524	+	CDS	Rv1196	PPE18	PE/PPE	PE/PPE	27	56	83	0.3253012048192771	1339936.0	1176	True	True	2	True	Antigen-HHR	8	7	61.0	44.0	45.0	46.0	45.0	61.0	15.56122448979592	11.224489795918368	True	True	True	True	True	True
NC_000962.3	1340658	1340955	+	CDS	Rv1197	esxK	cell wall and cell processes	esx	10	6	16	0.625	1340806.5	297	True	True	1	True	Antigen-HHR	5	3	6.0	3.0	1.0	3.0	1.0	6.0	6.060606060606061	3.0303030303030307	True	True	True	True	True	True
NC_000962.3	1341005	1341290	+	CDS	Rv1198	esxL	cell wall and cell processes	esx	9	7	16	0.5625	1341147.5	285	True	True	1	True	Antigen-HHR	10	7	30.0	27.0	13.0	20.0	13.0	30.0	31.57894736842105	28.42105263157895	True	True	True	True	True	True
NC_000962.3	1341357	1342605	-	CDS	Rv1199c	Rv1199c	insertion seqs and phages	insertion seqs and phages	3	5	8	0.375	1341981.0	1248	True	True	1	True	Antigen-HHR	0	0	11.0	3.0	0.0	0.0	0.0	11.0	2.644230769230769	0.7211538461538461	False	False	False	False	False	True
NC_000962.3	1532442	1533633	-	CDS	Rv1361c	PPE19	PE/PPE	PE/PPE	16	21	37	0.4324324324324324	1533037.5	1191	True	True	1	True	Antigen-HHR	5	5	61.0	9.0	36.0	36.0	36.0	61.0	15.365239294710328	2.267002518891688	True	True	True	True	True	True
NC_000962.3	1561768	1563388	+	CDS	Rv1387	PPE20	PE/PPE	PE/PPE	2	6	8	0.25	1562578.0	1620	True	True	0	False	Antigen-Unq	0	0	6.0	1.0	0.0	0.0	0.0	6.0	1.1111111111111112	0.1851851851851851	False	False	False	False	False	True
NC_000962.3	1771639	1773829	-	CDS	Rv1565c	Rv1565c	cell wall and cell processes	cell wall and cell processes	2	8	10	0.2	1772734.0	2190	True	True	0	False	Antigen-Unq	0	0	6.0	1.0	0.0	0.0	0.0	6.0	0.821917808219178	0.136986301369863	False	False	False	False	False	True
NC_000962.3	2026476	2026776	+	CDS	Rv1788	PE18	PE/PPE	PE/PPE	2	1	3	0.6666666666666666	2026626.0	300	True	True	0	False	Antigen-Unq	0	0	2.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	False	False	False	False	False	True
NC_000962.3	2030346	2030643	+	CDS	Rv1792	esxM	cell wall and cell processes	esx	10	5	15	0.6666666666666666	2030494.5	297	True	True	1	True	Antigen-HHR	3	3	3.0	0.0	2.0	2.0	2.0	3.0	3.0303030303030307	0.0	True	True	True	True	True	True
NC_000962.3	2030693	2030978	+	CDS	Rv1793	esxN	cell wall and cell processes	esx	8	2	10	0.8	2030835.5	285	True	True	1	True	Antigen-HHR	3	3	8.0	1.0	7.0	7.0	7.0	8.0	8.421052631578947	1.0526315789473684	True	True	True	True	True	True
NC_000962.3	2043383	2044775	+	CDS	Rv1802	PPE30	PE/PPE	PE/PPE	2	5	7	0.2857142857142857	2044079.0	1392	True	True	0	False	Antigen-Unq	0	0	7.0	0.0	0.0	0.0	0.0	7.0	1.5086206896551724	0.0	False	False	False	False	False	True
NC_000962.3	2134889	2135867	-	CDS	Rv1886c	fbpB	lipid metabolism	lipid metabolism	16	56	72	0.2222222222222222	2135378.0	978	True	True	0	False	Antigen-Unq	0	0	3.0	2.0	0.0	0.0	0.0	3.0	0.9202453987730062	0.6134969325153374	False	False	False	False	False	True
NC_000962.3	2178956	2179436	-	CDS	Rv1926c	mpt63	cell wall and cell processes	cell wall and cell processes	2	4	6	0.3333333333333333	2179196.0	480	True	True	0	False	Antigen-Unq	0	0	2.0	0.0	0.0	0.0	0.0	2.0	1.25	0.0	False	False	False	False	False	True
NC_000962.3	2625887	2626172	-	CDS	Rv2346c	esxO	cell wall and cell processes	esx	9	1	10	0.9	2626029.5	285	True	True	1	True	Antigen-HHR	5	5	10.0	3.0	6.0	6.0	6.0	10.0	10.526315789473683	3.1578947368421053	True	True	True	True	True	True
NC_000962.3	2626222	2626519	-	CDS	Rv2347c	esxP	cell wall and cell processes	esx	10	6	16	0.625	2626370.5	297	True	True	1	True	Antigen-HHR	9	9	17.0	2.0	12.0	12.0	12.0	17.0	17.171717171717173	2.0202020202020203	True	True	True	True	True	True
NC_000962.3	2828555	2829803	-	CDS	Rv2512c	Rv2512c	insertion seqs and phages	insertion seqs and phages	3	5	8	0.375	2829179.0	1248	True	True	1	True	Antigen-HHR	0	0	14.0	8.0	0.0	0.0	0.0	14.0	3.3653846153846154	1.923076923076923	False	False	False	False	False	True
NC_000962.3	2935045	2936788	+	CDS	Rv2608	PPE42	PE/PPE	PE/PPE	16	106	122	0.1311475409836065	2935916.5	1743	True	True	0	False	Antigen-Unq	0	0	3.0	0.0	0.0	0.0	0.0	3.0	0.5163511187607573	0.0	False	False	False	False	False	True
NC_000962.3	2980962	2981190	-	CDS	Rv2660c	Rv2660c	conserved hypotheticals	conserved hypotheticals	2	12	14	0.1428571428571428	2981076.0	228	True	True	0	False	Antigen-Unq	0	0	2.0	1.0	0.0	0.0	0.0	2.0	2.631578947368421	1.3157894736842104	False	False	False	False	False	True
NC_000962.3	3376938	3378243	-	CDS	Rv3018c	PPE46	PE/PPE	PE/PPE	3	3	6	0.5	3377590.5	1305	True	True	1	True	Antigen-HHR	2	0	18.0	0.0	0.0	11.0	0.0	18.0	4.137931034482759	0.0	False	False	False	True	True	True
NC_000962.3	3378710	3379001	-	CDS	Rv3019c	esxR	cell wall and cell processes	esx	3	0	3	1.0	3378855.5	291	True	True	0	False	Antigen-Unq	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	False	False	False	False
NC_000962.3	3379035	3379329	-	CDS	Rv3020c	esxS	cell wall and cell processes	esx	2	0	2	1.0	3379182.0	294	True	True	0	False	Antigen-Unq	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	False	False	False	False
NC_000962.3	3381374	3382622	-	CDS	Rv3023c	Rv3023c	insertion seqs and phages	insertion seqs and phages	3	5	8	0.375	3381998.0	1248	True	True	1	True	Antigen-HHR	0	0	13.0	4.0	0.0	0.0	0.0	13.0	3.125	0.9615384615384616	False	False	False	False	False	True
NC_000962.3	3382784	3383888	-	CDS	Rv3024c	trmU	information pathways	information pathways	2	3	5	0.4	3383336.0	1104	True	True	0	False	Antigen-Unq	0	0	2.0	0.0	0.0	0.0	0.0	2.0	0.5434782608695652	0.0	False	False	False	False	False	True
NC_000962.3	3481450	3482698	+	CDS	Rv3115	Rv3115	insertion seqs and phages	insertion seqs and phages	3	5	8	0.375	3482074.0	1248	True	True	1	True	Antigen-HHR	0	0	20.0	1.0	0.0	0.0	0.0	20.0	4.807692307692308	0.2403846153846153	False	False	False	False	False	True
NC_000962.3	3490475	3491651	-	CDS	Rv3125c	PPE49	PE/PPE	PE/PPE	2	4	6	0.3333333333333333	3491063.0	1176	True	True	0	False	Antigen-Unq	0	0	6.0	0.0	0.0	0.0	0.0	6.0	1.530612244897959	0.0	False	False	False	False	False	True
NC_000962.3	3501793	3502936	+	CDS	Rv3136	PPE51	PE/PPE	PE/PPE	2	2	4	0.5	3502364.5	1143	True	True	0	False	Antigen-Unq	0	0	1.0	1.0	0.0	0.0	0.0	1.0	0.2624671916010498	0.2624671916010498	False	False	False	False	False	True
NC_000962.3	3715776	3716994	+	CDS	Rv3330	dacB1	cell wall and cell processes	cell wall and cell processes	2	4	6	0.3333333333333333	3716385.0	1218	True	True	0	False	Antigen-Unq	0	0	2.0	1.0	0.0	0.0	0.0	2.0	0.4926108374384236	0.2463054187192118	False	False	False	False	False	True
NC_000962.3	3894425	3895607	+	CDS	Rv3478	PPE60	PE/PPE	PE/PPE	5	15	20	0.25	3895016.0	1182	True	True	1	True	Antigen-HHR	8	8	141.0	24.0	120.0	120.0	120.0	141.0	35.786802030456855	6.091370558375634	True	True	True	True	True	True
NC_000962.3	4054811	4055123	-	CDS	Rv3615c	espC	cell wall and cell processes	cell wall and cell processes	2	0	2	1.0	4054967.0	312	True	True	0	False	Antigen-Unq	0	0	1.0	0.0	0.0	0.0	0.0	1.0	0.9615384615384616	0.0	False	False	False	False	False	True
NC_000962.3	4059983	4060268	-	CDS	Rv3619c	esxV	cell wall and cell processes	esx	10	9	19	0.5263157894736842	4060125.5	285	True	True	1	True	Antigen-HHR	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	False	False	True	False	False
NC_000962.3	4060294	4060591	-	CDS	Rv3620c	esxW	cell wall and cell processes	esx	12	7	19	0.631578947368421	4060442.5	297	True	True	1	True	Antigen-HHR	0	0	4.0	4.0	0.0	0.0	0.0	4.0	4.040404040404041	4.040404040404041	False	False	False	False	False	True
NC_000962.3	4073633	4075409	+	CDS	Rv3635	Rv3635	cell wall and cell processes	cell wall and cell processes	2	7	9	0.2222222222222222	4074521.0	1776	True	True	0	False	Antigen-Unq	0	0	4.0	0.0	0.0	0.0	0.0	4.0	0.6756756756756757	0.0	False	False	False	False	False	True
NC_000962.3	4228346	4229261	+	CDS	Rv3782	glfT1	cell wall and cell processes	cell wall and cell processes	2	3	5	0.4	4228803.5	915	True	True	0	False	Antigen-Unq	0	0	1.0	1.0	0.0	0.0	0.0	1.0	0.3278688524590163	0.3278688524590163	False	False	False	False	False	True
NC_000962.3	4249877	4251005	+	CDS	Rv3796	Rv3796	conserved hypotheticals	conserved hypotheticals	2	4	6	0.3333333333333333	4250441.0	1128	True	True	0	False	Antigen-Unq	0	0	5.0	0.0	0.0	0.0	0.0	5.0	1.3297872340425534	0.0	False	False	False	False	False	True
NC_000962.3	4265641	4266658	-	CDS	Rv3804c	fbpA	lipid metabolism	lipid metabolism	13	65	78	0.1666666666666666	4266149.5	1017	True	True	0	False	Antigen-Unq	0	0	3.0	1.0	0.0	0.0	0.0	3.0	0.8849557522123894	0.2949852507374631	False	False	False	False	False	True
NC_000962.3	4282448	4283999	+	CDS	Rv3818	Rv3818	conserved hypotheticals	conserved hypotheticals	2	6	8	0.25	4283223.5	1551	True	True	0	False	Antigen-Unq	0	0	2.0	0.0	0.0	0.0	0.0	2.0	0.3868471953578337	0.0	False	False	False	False	False	True
NC_000962.3	4351074	4352181	+	CDS	Rv3873	PPE68	PE/PPE	PE/PPE	5	6	11	0.4545454545454545	4351627.5	1107	True	True	0	False	Antigen-Unq	0	0	4.0	1.0	0.0	0.0	0.0	4.0	1.084010840108401	0.2710027100271002	False	False	False	False	False	True
NC_000962.3	4352273	4352576	+	CDS	Rv3874	esxB	cell wall and cell processes	esx	21	2	23	0.9130434782608696	4352424.5	303	True	True	0	False	Antigen-Unq	0	0	3.0	3.0	0.0	0.0	0.0	3.0	2.9702970297029703	2.9702970297029703	False	False	False	False	False	True
NC_000962.3	4352608	4352896	+	CDS	Rv3875	esxA	cell wall and cell processes	esx	19	3	22	0.8636363636363636	4352752.0	288	True	True	0	False	Antigen-Unq	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	False	False	False	False
