Chrom	Start	End	Overlap_Genes	Middle	pGCE_Count	CenterOfRegion
NC_000962.3	159000	160000	fadE1,fgd2	159500.0	0	159500.0
NC_000962.3	160000	161000	fgd2,Rv0133	160500.0	0	160500.0
NC_000962.3	161000	162000	Rv0133,ephF	161500.0	0	161500.0
NC_000962.3	162000	163000	ephF,Rv0135c	162500.0	0	162500.0
NC_000962.3	163000	164000	Rv0135c,cyp138	163500.0	0	163500.0
NC_000962.3	164000	165000	cyp138,msrA	164500.0	0	164500.0
NC_000962.3	165000	166000	msrA,Rv0138,Rv0139	165500.0	0	165500.0
NC_000962.3	166000	167000	Rv0139,Rv0140	166500.0	0	166500.0
NC_000962.3	167000	168000	Rv0140,Rv0141c,Rv0142	167500.0	0	167500.0
NC_000962.3	168000	169000	Rv0142,Rv0143c	168500.0	0	168500.0
NC_000962.3	169000	170000	Rv0143c	169500.0	0	169500.0
NC_000962.3	170000	171000	Rv0143c,Rv0144	170500.0	0	170500.0
NC_000962.3	171000	172000	Rv0144,Rv0145	171500.0	0	171500.0
NC_000962.3	172000	173000	Rv0145,Rv0146	172500.0	0	172500.0
NC_000962.3	173000	174000	Rv0146,Rv0147	173500.0	0	173500.0
NC_000962.3	174000	175000	Rv0147,Rv0148	174500.0	0	174500.0
NC_000962.3	175000	176000	Rv0148,Rv0149	175500.0	0	175500.0
NC_000962.3	176000	177000	Rv0149,Rv0150c	176500.0	0	176500.0
NC_000962.3	177000	178000	PE1	177500.0	0	177500.0
NC_000962.3	178000	179000	PE1	178500.0	0	178500.0
NC_000962.3	179000	180000	PE1,PE2	179500.0	0	179500.0
NC_000962.3	180000	181000	PE2	180500.0	0	180500.0
NC_000962.3	181000	182000	ptbB,fadE2	181500.0	0	181500.0
NC_000962.3	182000	183000	fadE2	182500.0	0	182500.0
NC_000962.3	183000	184000	fadE2,pntAa	183500.0	0	183500.0
NC_000962.3	184000	185000	pntAa,pntAb	184500.0	0	184500.0
NC_000962.3	185000	186000	pntAb,pntB	185500.0	0	185500.0
NC_000962.3	186000	187000	pntB,Rv0157A,Rv0158	186500.0	0	186500.0
NC_000962.3	187000	188000	Rv0158,PE3	187500.0	0	187500.0
NC_000962.3	188000	189000	PE3,PE4	188500.0	0	188500.0
NC_000962.3	189000	190000	PE4	189500.0	0	189500.0
NC_000962.3	190000	191000	PE4,Rv0161	190500.0	0	190500.0
NC_000962.3	191000	192000	Rv0161,adhE1	191500.0	0	191500.0
NC_000962.3	192000	193000	adhE1	192500.0	0	192500.0
NC_000962.3	193000	194000	adhE1,Rv0163,TB18.5	193500.0	0	193500.0
NC_000962.3	194000	195000	TB18.5,mce1R,fadD5	194500.0	0	194500.0
NC_000962.3	195000	196000	fadD5	195500.0	0	195500.0
NC_000962.3	196000	197000	fadD5,yrbE1A	196500.0	0	196500.0
NC_000962.3	197000	198000	yrbE1A,yrbE1B	197500.0	0	197500.0
NC_000962.3	198000	199000	yrbE1B,mce1A	198500.0	0	198500.0
NC_000962.3	199000	200000	mce1A,mce1B	199500.0	0	199500.0
NC_000962.3	200000	201000	mce1B,mce1C	200500.0	0	200500.0
NC_000962.3	201000	202000	mce1C	201500.0	0	201500.0
NC_000962.3	202000	203000	mce1C,mce1D	202500.0	0	202500.0
NC_000962.3	203000	204000	mce1D	203500.0	0	203500.0
NC_000962.3	204000	205000	mce1D,lprK	204500.0	0	204500.0
NC_000962.3	205000	206000	lprK,mce1F	205500.0	0	205500.0
NC_000962.3	206000	207000	mce1F,Rv0175	206500.0	0	206500.0
NC_000962.3	207000	208000	Rv0175,Rv0176	207500.0	0	207500.0
NC_000962.3	208000	209000	Rv0176,Rv0177,Rv0178	208500.0	0	208500.0
NC_000962.3	209000	210000	Rv0178,lprO	209500.0	0	209500.0
NC_000962.3	210000	211000	lprO,Rv0180c	210500.0	0	210500.0
NC_000962.3	211000	212000	Rv0180c	211500.0	0	211500.0
NC_000962.3	212000	213000	Rv0180c,Rv0181c	212500.0	0	212500.0
NC_000962.3	213000	214000	Rv0181c,sigG	213500.0	0	213500.0
NC_000962.3	214000	215000	sigG,Rv0183,Rv0184	214500.0	0	214500.0
NC_000962.3	215000	216000	Rv0184,Rv0185	215500.0	0	215500.0
NC_000962.3	216000	217000	Rv0185,bglS	216500.0	0	216500.0
NC_000962.3	217000	218000	bglS	217500.0	0	217500.0
NC_000962.3	218000	219000	bglS,mymT,Rv0187	218500.0	0	218500.0
NC_000962.3	219000	220000	Rv0187,Rv0188,ilvD	219500.0	0	219500.0
NC_000962.3	220000	221000	ilvD	220500.0	0	220500.0
NC_000962.3	221000	222000	ilvD,Rv0190	221500.0	0	221500.0
NC_000962.3	222000	223000	Rv0190,Rv0191	222500.0	0	222500.0
NC_000962.3	223000	224000	Rv0191,Rv0192,Rv0192A	223500.0	0	223500.0
NC_000962.3	224000	225000	Rv0192,Rv0193c	224500.0	0	224500.0
NC_000962.3	225000	226000	Rv0193c	225500.0	0	225500.0
NC_000962.3	226000	227000	Rv0193c,Rv0194	226500.0	0	226500.0
NC_000962.3	227000	228000	Rv0194	227500.0	0	227500.0
NC_000962.3	228000	229000	Rv0194	228500.0	0	228500.0
NC_000962.3	229000	230000	Rv0194	229500.0	0	229500.0
NC_000962.3	230000	231000	Rv0194,Rv0195	230500.0	0	230500.0
NC_000962.3	231000	232000	Rv0195,Rv0196	231500.0	0	231500.0
NC_000962.3	232000	233000	Rv0196,Rv0197	232500.0	0	232500.0
NC_000962.3	233000	234000	Rv0197	233500.0	0	233500.0
NC_000962.3	234000	235000	Rv0197,zmp1	234500.0	0	234500.0
NC_000962.3	235000	236000	zmp1	235500.0	0	235500.0
NC_000962.3	236000	237000	zmp1,Rv0199	236500.0	0	236500.0
NC_000962.3	237000	238000	Rv0199,Rv0200,Rv0201c	237500.0	0	237500.0
NC_000962.3	238000	239000	Rv0201c,mmpL11	238500.0	0	238500.0
NC_000962.3	239000	240000	mmpL11	239500.0	0	239500.0
NC_000962.3	240000	241000	mmpL11	240500.0	0	240500.0
NC_000962.3	241000	242000	mmpL11,Rv0203,Rv0204c	241500.0	0	241500.0
NC_000962.3	242000	243000	Rv0204c	242500.0	0	242500.0
NC_000962.3	243000	244000	Rv0204c,Rv0205	243500.0	0	243500.0
NC_000962.3	244000	245000	Rv0205,mmpL3	244500.0	0	244500.0
NC_000962.3	245000	246000	mmpL3	245500.0	0	245500.0
NC_000962.3	246000	247000	mmpL3	246500.0	0	246500.0
NC_000962.3	247000	248000	mmpL3,Rv0207c	247500.0	0	247500.0
NC_000962.3	248000	249000	Rv0207c,Rv0208c	248500.0	0	248500.0
NC_000962.3	249000	250000	Rv0209	249500.0	0	249500.0
NC_000962.3	250000	251000	Rv0209,Rv0210	250500.0	0	250500.0
NC_000962.3	251000	252000	Rv0210,pckA	251500.0	0	251500.0
NC_000962.3	252000	253000	pckA	252500.0	0	252500.0
NC_000962.3	253000	254000	pckA,nadR	253500.0	0	253500.0
NC_000962.3	254000	255000	nadR,Rv0213c	254500.0	0	254500.0
NC_000962.3	255000	256000	Rv0213c	255500.0	0	255500.0
NC_000962.3	256000	257000	fadD4	256500.0	0	256500.0
NC_000962.3	257000	258000	fadD4,fadE3	257500.0	0	257500.0
NC_000962.3	258000	259000	fadE3,Rv0216	258500.0	0	258500.0
NC_000962.3	259000	260000	Rv0216,lipW	259500.0	0	259500.0
NC_000962.3	260000	261000	lipW,Rv0218	260500.0	0	260500.0
NC_000962.3	261000	262000	Rv0218	261500.0	0	261500.0
NC_000962.3	262000	263000	Rv0218,Rv0219,lipC	262500.0	0	262500.0
NC_000962.3	263000	264000	lipC	263500.0	0	263500.0
NC_000962.3	264000	265000	lipC,Rv0221	264500.0	0	264500.0
NC_000962.3	265000	266000	Rv0221,echA1	265500.0	0	265500.0
NC_000962.3	266000	267000	echA1,Rv0223c	266500.0	0	266500.0
NC_000962.3	267000	268000	Rv0223c,Rv0224c	267500.0	0	267500.0
NC_000962.3	268000	269000	Rv0224c,Rv0225	268500.0	0	268500.0
NC_000962.3	269000	270000	Rv0225,Rv0226c	269500.0	0	269500.0
NC_000962.3	270000	271000	Rv0226c	270500.0	0	270500.0
NC_000962.3	271000	272000	Rv0226c,Rv0227c	271500.0	0	271500.0
NC_000962.3	272000	273000	Rv0227c	272500.0	0	272500.0
NC_000962.3	273000	274000	Rv0228	273500.0	0	273500.0
NC_000962.3	274000	275000	Rv0228,Rv0229c,php	274500.0	0	274500.0
NC_000962.3	275000	276000	php	275500.0	0	275500.0
NC_000962.3	276000	277000	fadE4	276500.0	0	276500.0
NC_000962.3	277000	278000	fadE4,Rv0232	277500.0	0	277500.0
NC_000962.3	278000	279000	Rv0232,nrdB	278500.0	0	278500.0
NC_000962.3	279000	280000	nrdB,gabD1	279500.0	0	279500.0
NC_000962.3	280000	281000	gabD1	280500.0	0	280500.0
NC_000962.3	281000	282000	gabD1,Rv0235c	281500.0	0	281500.0
NC_000962.3	282000	283000	Rv0235c,aftD	282500.0	0	282500.0
NC_000962.3	283000	284000	aftD	283500.0	0	283500.0
NC_000962.3	284000	285000	aftD	284500.0	0	284500.0
NC_000962.3	285000	286000	aftD	285500.0	0	285500.0
NC_000962.3	286000	287000	aftD,Rv0236A	286500.0	0	286500.0
NC_000962.3	287000	288000	Rv0236A,lpqI	287500.0	0	287500.0
NC_000962.3	288000	289000	lpqI,Rv0238	288500.0	0	288500.0
NC_000962.3	289000	290000	Rv0238,vapB24,vapC24,htdX	289500.0	0	289500.0
NC_000962.3	290000	291000	htdX,fabG4	290500.0	0	290500.0
NC_000962.3	291000	292000	fabG4	291500.0	0	291500.0
NC_000962.3	292000	293000	fabG4,fadA2	292500.0	0	292500.0
NC_000962.3	293000	294000	fadA2,fadE5	293500.0	0	293500.0
NC_000962.3	294000	295000	fadE5	294500.0	0	294500.0
NC_000962.3	295000	296000	fadE5	295500.0	0	295500.0
NC_000962.3	296000	297000	Rv0245,Rv0246	296500.0	0	296500.0
NC_000962.3	297000	298000	Rv0246	297500.0	0	297500.0
NC_000962.3	298000	299000	Rv0246,Rv0247c,Rv0248c	298500.0	0	298500.0
NC_000962.3	299000	300000	Rv0248c	299500.0	0	299500.0
NC_000962.3	300000	301000	Rv0248c,Rv0249c	300500.0	0	300500.0
NC_000962.3	301000	302000	Rv0249c,Rv0250c	301500.0	0	301500.0
NC_000962.3	302000	303000	Rv0250c,hsp,nirB	302500.0	0	302500.0
NC_000962.3	303000	304000	nirB	303500.0	0	303500.0
NC_000962.3	304000	305000	nirB	304500.0	0	304500.0
NC_000962.3	305000	306000	nirB,nirD,cobU	305500.0	0	305500.0
NC_000962.3	306000	307000	cobU,cobQ1	306500.0	0	306500.0
NC_000962.3	307000	308000	cobQ1,PPE2	307500.0	0	307500.0
NC_000962.3	308000	309000	PPE2	308500.0	0	308500.0
NC_000962.3	309000	310000	PPE2,Rv0257	309500.0	0	309500.0
NC_000962.3	310000	311000	Rv0257,Rv0258c,Rv0259c	310500.0	0	310500.0
NC_000962.3	311000	312000	Rv0259c,Rv0260c	311500.0	0	311500.0
NC_000962.3	312000	313000	Rv0260c,narK3	312500.0	0	312500.0
NC_000962.3	313000	314000	narK3	313500.0	0	313500.0
NC_000962.3	314000	315000	narK3,aac,Rv0263c	314500.0	0	314500.0
NC_000962.3	315000	316000	Rv0263c,Rv0264c	315500.0	0	315500.0
NC_000962.3	316000	317000	Rv0264c,Rv0265c	316500.0	0	316500.0
NC_000962.3	317000	318000	Rv0265c,oplA	317500.0	0	317500.0
NC_000962.3	318000	319000	oplA	318500.0	0	318500.0
NC_000962.3	319000	320000	oplA	319500.0	0	319500.0
NC_000962.3	320000	321000	oplA	320500.0	0	320500.0
NC_000962.3	321000	322000	oplA,narU	321500.0	0	321500.0
NC_000962.3	322000	323000	narU,Rv0268c	322500.0	0	322500.0
NC_000962.3	323000	324000	Rv0268c,Rv0269c	323500.0	0	323500.0
NC_000962.3	324000	325000	Rv0269c,fadD2	324500.0	0	324500.0
NC_000962.3	325000	326000	fadD2	325500.0	0	325500.0
NC_000962.3	326000	327000	fadD2,fadE6	326500.0	0	326500.0
NC_000962.3	327000	328000	fadE6	327500.0	0	327500.0
NC_000962.3	328000	329000	fadE6,Rv0272c	328500.0	0	328500.0
NC_000962.3	329000	330000	Rv0272c,Rv0273c	329500.0	0	329500.0
NC_000962.3	330000	331000	Rv0273c,Rv0274,Rv0275c	330500.0	0	330500.0
NC_000962.3	331000	332000	Rv0274,Rv0275c,Rv0276	331500.0	0	331500.0
NC_000962.3	332000	333000	Rv0276,vapC25	332500.0	2	332500.0
NC_000962.3	333000	334000	vapC25,vapB25,PE_PGRS3	333500.0	2	333500.0
NC_000962.3	334000	335000	PE_PGRS3	334500.0	1	334500.0
NC_000962.3	335000	336000	PE_PGRS3	335500.0	0	335500.0
NC_000962.3	336000	337000	PE_PGRS3,PE_PGRS4	336500.0	0	336500.0
NC_000962.3	337000	338000	PE_PGRS4	337500.0	0	337500.0
NC_000962.3	338000	339000	PE_PGRS4	338500.0	10	338500.0
NC_000962.3	339000	340000	PE_PGRS4,PPE3	339500.0	0	339500.0
NC_000962.3	340000	341000	PPE3,Rv0281	340500.0	0	340500.0
NC_000962.3	341000	342000	Rv0281	341500.0	0	341500.0
NC_000962.3	342000	343000	eccA3	342500.0	0	342500.0
NC_000962.3	343000	344000	eccA3	343500.0	0	343500.0
NC_000962.3	344000	345000	eccA3,eccB3	344500.0	0	344500.0
NC_000962.3	345000	346000	eccB3,eccC3	345500.0	0	345500.0
NC_000962.3	346000	347000	eccC3	346500.0	0	346500.0
NC_000962.3	347000	348000	eccC3	347500.0	0	347500.0
NC_000962.3	348000	349000	eccC3	348500.0	0	348500.0
NC_000962.3	349000	350000	eccC3,PE5,PPE4	349500.0	0	349500.0
NC_000962.3	350000	351000	PPE4	350500.0	0	350500.0
NC_000962.3	351000	352000	PPE4,esxG,esxH	351500.0	0	351500.0
NC_000962.3	352000	353000	esxH,espG3	352500.0	0	352500.0
NC_000962.3	353000	354000	espG3,eccD3	353500.0	0	353500.0
NC_000962.3	354000	355000	eccD3,mycP3	354500.0	0	354500.0
NC_000962.3	355000	356000	mycP3,eccE3	355500.0	0	355500.0
NC_000962.3	356000	357000	eccE3,Rv0293c	356500.0	0	356500.0
NC_000962.3	357000	358000	Rv0293c	357500.0	0	357500.0
NC_000962.3	358000	359000	Rv0293c,tam,Rv0295c	358500.0	0	358500.0
NC_000962.3	359000	360000	Rv0295c,Rv0296c	359500.0	0	359500.0
NC_000962.3	360000	361000	Rv0296c	360500.0	0	360500.0
NC_000962.3	361000	362000	Rv0296c,PE_PGRS5	361500.0	0	361500.0
NC_000962.3	362000	363000	PE_PGRS5	362500.0	0	362500.0
NC_000962.3	363000	364000	PE_PGRS5,Rv0298,Rv0299,vapB2	363500.0	0	363500.0
NC_000962.3	364000	365000	vapB2,vapC2,Rv0302	364500.0	0	364500.0
NC_000962.3	365000	366000	Rv0302,Rv0303	365500.0	0	365500.0
NC_000962.3	366000	367000	Rv0303,PPE5	366500.0	0	366500.0
NC_000962.3	367000	368000	PPE5	367500.0	0	367500.0
NC_000962.3	368000	369000	PPE5	368500.0	0	368500.0
NC_000962.3	369000	370000	PPE5	369500.0	0	369500.0
NC_000962.3	370000	371000	PPE5	370500.0	0	370500.0
NC_000962.3	371000	372000	PPE5	371500.0	0	371500.0
NC_000962.3	372000	373000	PPE5,PPE6	372500.0	0	372500.0
NC_000962.3	373000	374000	PPE6	373500.0	0	373500.0
NC_000962.3	374000	375000	PPE6	374500.0	0	374500.0
NC_000962.3	375000	376000	PPE6,Rv0306	375500.0	0	375500.0
NC_000962.3	376000	377000	Rv0306,Rv0307c	376500.0	0	376500.0
NC_000962.3	377000	378000	Rv0307c,Rv0308,Rv0309	377500.0	0	377500.0
NC_000962.3	378000	379000	Rv0309,Rv0310c	378500.0	0	378500.0
NC_000962.3	379000	380000	Rv0310c,Rv0311	379500.0	0	379500.0
NC_000962.3	380000	381000	Rv0311,Rv0312	380500.0	0	380500.0
NC_000962.3	381000	382000	Rv0312	381500.0	0	381500.0
NC_000962.3	382000	383000	Rv0312,Rv0313,Rv0314c	382500.0	0	382500.0
NC_000962.3	383000	384000	Rv0314c,Rv0315	383500.0	0	383500.0
NC_000962.3	384000	385000	Rv0315,Rv0316	384500.0	0	384500.0
NC_000962.3	385000	386000	Rv0316,glpQ2	385500.0	0	385500.0
NC_000962.3	386000	387000	glyU,Rv0318c	386500.0	0	386500.0
