Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
M0014888_3	132	47	85	1	68	4806	0.552941	0.011765	4411407	4407971
02_R1896	184	35	149	3	965	2755	0.234899	0.020134	4411418	4409156
TB4620	215	6	209	1	68	2795	0.028708	0.004785	4411458	4408681
TB3162	82	17	65	2	946	2950	0.261538	0.030769	4411457	4408634
MT_0080	194	16	178	2	946	2544	0.089888	0.011236	4411447	4409020
TB3054	283	41	242	4	1208	2966	0.169421	0.016529	4411472	4409414
TB3251	528	69	459	7	1256	3447	0.150327	0.015251	4411476	4409568
M0016737_0	258	19	239	4	1208	2941	0.079498	0.016736	4411468	4408691
TB2661	24	0	24	0	0	2913	0.000000	0.000000	4411455	4408524
TB3237	177	48	129	5	1215	2511	0.372093	0.038760	4411400	4409138
TB3169	111	0	111	0	0	3419	0.000000	0.000000	4411448	4408012
TB3386	33	16	17	1	68	3054	0.941176	0.058824	4411457	4408526
TB3334	223	27	196	4	1208	2986	0.137755	0.020408	4411512	4409101
M0011368_9	98	0	98	0	0	2612	0.000000	0.000000	4411430	4408804
TB2968	212	13	199	3	965	2387	0.065327	0.015075	4411487	4409331
N1272	234	27	207	5	1516	2631	0.130435	0.024155	4411374	4409501
N1176	234	0	234	0	0	1867	0.000000	0.000000	4411341	4409468
N1202	370	23	347	3	306	3188	0.066282	0.008646	4411300	4409294
N1177	459	22	437	2	113	2209	0.050343	0.004577	4411302	4409296
N0091	408	25	383	2	113	3418	0.065274	0.005222	4411285	4409279
RW-TB008	1248	172	1076	16	5192	5192	0.159851	0.014870	4411251	4411251
9050-05	11	0	11	0	0	3386	0.000000	0.000000	4411501	4408101
4549-04	26	0	26	0	0	3386	0.000000	0.000000	4411499	4408099
696-05	20	0	20	0	0	3386	0.000000	0.000000	4411501	4408101
702-06	13	0	13	0	0	3386	0.000000	0.000000	4411505	4408105
706-05	28	5	23	1	68	3614	0.217391	0.043478	4411513	4407897
8129-04	62	0	62	0	0	3386	0.000000	0.000000	4411514	4408114
3003-06	20	0	20	0	0	3386	0.000000	0.000000	4411489	4408089
8651-04	19	0	19	0	0	3386	0.000000	0.000000	4411495	4408095
QC-3	4	0	4	0	0	2359	0.000000	0.000000	4411471	4409093
QC-9	4	0	4	0	0	2359	0.000000	0.000000	4411459	4409081
QC-5	1	0	1	0	0	2359	0.000000	0.000000	4411470	4409092
QC-8	3	0	3	0	0	3378	0.000000	0.000000	4411456	4408060
QC-10	1	0	1	0	0	3378	0.000000	0.000000	4411446	4408050
QC-4	5	0	5	0	0	3378	0.000000	0.000000	4411457	4408061
QC-7	100	16	84	2	946	2927	0.190476	0.023810	4411400	4408801
QC-6	6	0	6	0	0	2597	0.000000	0.000000	4411424	4408811
QC-1	3	0	3	0	0	2597	0.000000	0.000000	4411425	4408812
mada_1-10	403	81	322	8	2132	4075	0.251553	0.024845	4411451	4408671
mada_2-46	99	4	95	1	122	3101	0.042105	0.010526	4411436	4408341
mada_1-1	151	62	89	5	532	3612	0.696629	0.056180	4411492	4408397
mada_1-36	103	36	67	2	337	4006	0.537313	0.029851	4411489	4408394
mada_1-39	202	14	188	1	122	3622	0.074468	0.005319	4411423	4408328
mada_1-51	88	4	84	1	122	3091	0.047619	0.011905	4411493	4408398
mada_1-44	139	30	109	1	122	3632	0.275229	0.009174	4411474	4408379
mada_117	85	0	85	0	0	3082	0.000000	0.000000	4411442	4408347
mada_118	298	28	270	4	391	3314	0.103704	0.014815	4411480	4408700
mada_122	155	9	146	2	337	3163	0.061644	0.013699	4411478	4408383
mada_107	116	15	101	1	122	3282	0.148515	0.009901	4411498	4408403
R27252	486	29	457	5	532	3288	0.063457	0.010941	4411425	4408643
R23887	513	49	464	6	1098	2960	0.105603	0.012931	4411440	4408658
R30215	16	0	16	0	0	3833	0.000000	0.000000	4411498	4407650
R30078	0	0	0	0	0	3386	0.000000	0.000000	4411530	4408130
R29816	5	0	5	0	0	3386	0.000000	0.000000	4411531	4408131
R30234	0	0	0	0	0	3386	0.000000	0.000000	4411532	4408132
18_0621851	121	4	117	1	68	3504	0.034188	0.008547	4411472	4408072
R36431	8	0	8	0	0	3386	0.000000	0.000000	4411531	4408131
R28703	19	0	19	0	0	3386	0.000000	0.000000	4411529	4408129
mada_115	5	0	5	0	0	3658	0.000000	0.000000	4411514	4407840
mada_2-42	19	0	19	0	0	3658	0.000000	0.000000	4411523	4407849
R31095	2	0	2	0	0	3386	0.000000	0.000000	4411531	4408131
R28012	0	0	0	0	0	3386	0.000000	0.000000	4411530	4408130
R37765	141	18	123	2	946	3632	0.146341	0.016260	4411523	4408123
R27657	1	0	1	0	0	3386	0.000000	0.000000	4411530	4408130
R25048	16	5	11	1	68	3842	0.454545	0.090909	4411479	4407631
R24120	11	0	11	0	0	3386	0.000000	0.000000	4411531	4408131
R28581	23	0	23	0	0	3386	0.000000	0.000000	4411516	4408116
R29598	3	0	3	0	0	3386	0.000000	0.000000	4411516	4408116
mada_1-11	45	0	45	0	0	3386	0.000000	0.000000	4411494	4408094
R24100	6	0	6	0	0	3386	0.000000	0.000000	4411516	4408116
R21408	12	0	12	0	0	3900	0.000000	0.000000	4411510	4407596
R20574	0	0	0	0	0	3900	0.000000	0.000000	4411511	4407597
R20260	1	0	1	0	0	3900	0.000000	0.000000	4411511	4407597
R18043	1	0	1	0	0	3900	0.000000	0.000000	4411461	4407547
R22601	2	0	2	0	0	3900	0.000000	0.000000	4411461	4407547
R23146	8	0	8	0	0	3900	0.000000	0.000000	4411498	4407584
R32929	11	0	11	0	0	3900	0.000000	0.000000	4411511	4407597
R21893	28	0	28	0	0	3900	0.000000	0.000000	4411497	4407583
R30420	11	0	11	0	0	3900	0.000000	0.000000	4411511	4407597
R26778	9	0	9	0	0	3900	0.000000	0.000000	4411461	4407547
R26791	6	0	6	0	0	3900	0.000000	0.000000	4411511	4407597
R28980	7	0	7	0	0	3900	0.000000	0.000000	4411489	4407575
R27725	6	0	6	0	0	3900	0.000000	0.000000	4411511	4407597
R18040	2	0	2	0	0	3900	0.000000	0.000000	4411460	4407546
R27937	3	0	3	0	0	3900	0.000000	0.000000	4411461	4407547
mada_1-30	185	0	185	0	0	2108	0.000000	0.000000	4411434	4409309
mada_2-31	4	0	4	0	0	3743	0.000000	0.000000	4411452	4407688
mada_1-41	3	0	3	0	0	3743	0.000000	0.000000	4411446	4407682
R21770	153	21	132	2	946	2648	0.159091	0.015152	4411469	4408881
R21839	46	4	42	1	68	2827	0.095238	0.023810	4411456	4408868
mada_1-32	146	39	107	2	946	2842	0.364486	0.018692	4411481	4408893
R30396	7	0	7	0	0	2718	0.000000	0.000000	4411435	4408697
R21363	53	14	39	1	68	2759	0.358974	0.025641	4411460	4408872
R20896	6	0	6	0	0	2718	0.000000	0.000000	4411435	4408697
mada_102	164	4	160	1	68	2667	0.025000	0.006250	4411414	4408987
mada_129	105	0	105	0	0	3168	0.000000	0.000000	4411417	4408233
mada_139	112	13	99	2	946	3242	0.131313	0.020202	4411416	4408232
mada_151	95	19	76	4	1208	3991	0.250000	0.052632	4411427	4407991
mada_105	153	33	120	1	68	3549	0.275000	0.008333	4411454	4408018
R15311	136	25	111	3	87	4026	0.225225	0.027027	4411473	4407733
mada_103	10	0	10	0	0	2407	0.000000	0.000000	4411439	4409018
mada_2-25	162	4	158	1	68	2374	0.025316	0.006329	4411391	4409129
mada_112	7	0	7	0	0	2407	0.000000	0.000000	4411440	4409019
mada_124	15	0	15	0	0	2407	0.000000	0.000000	4411426	4409005
mada_126	6	0	6	0	0	2560	0.000000	0.000000	4411252	4408677
mada_120	6	0	6	0	0	2560	0.000000	0.000000	4411253	4408678
R23571	111	0	111	0	0	2371	0.000000	0.000000	4411478	4409092
mada_128	141	15	126	2	946	2409	0.119048	0.015873	4411456	4409130
mada_1-12	133	14	119	2	946	2564	0.117647	0.016807	4411483	4409157
mada_1-15	135	6	129	1	68	2342	0.046512	0.007752	4411503	4409177
mada_2-1	40	0	40	0	0	2396	0.000000	0.000000	4411474	4409062
mada_1-53	0	0	0	0	0	2451	0.000000	0.000000	4411473	4409004
mada_1-50	60	34	26	2	946	3252	1.307692	0.076923	4411475	4409063
mada_123	175	39	136	2	946	2830	0.286765	0.014706	4411467	4409141
mada_2-53	1	0	1	0	0	2451	0.000000	0.000000	4411473	4409004
mada_1-38	266	28	238	4	1208	2396	0.117647	0.016807	4411531	4409375
S0070-08	32	0	32	0	0	3386	0.000000	0.000000	4411514	4408114
S0085-01	37	0	37	0	0	3386	0.000000	0.000000	4411504	4408104
S0107-01	8	0	8	0	0	3386	0.000000	0.000000	4411516	4408116
S0089-01	19	0	19	0	0	3386	0.000000	0.000000	4411516	4408116
S0256-08	27	7	20	1	68	3446	0.350000	0.050000	4411480	4408080
S0123-01	0	0	0	0	0	2869	0.000000	0.000000	4411284	4408397
S0106-01	136	15	121	2	946	2850	0.123967	0.016529	4411460	4408872
S0262-02	1	0	1	0	0	2869	0.000000	0.000000	4411284	4408397
Node_1	882	66	816	6	1867	1867	0.080882	0.007353	4411389	4411389
Node_2	71	0	71	0	0	2001	0.000000	0.000000	4411333	4409327
Node_3	787	41	746	5	2001	2001	0.054960	0.006702	4411333	4411333
Node_4	0	0	0	0	0	0	0.000000	0.000000	4411491	4411491
Node_5	414	84	330	10	1898	3743	0.254545	0.030303	4411452	4409287
Node_6	47	7	40	1	68	2412	0.175000	0.025000	4411447	4409036
Node_7	7	0	7	0	0	3419	0.000000	0.000000	4411458	4408022
Node_8	9	0	9	0	0	3419	0.000000	0.000000	4411472	4408036
Node_9	29	24	5	1	68	3419	4.800000	0.200000	4411472	4408288
Node_10	3	0	3	0	0	3378	0.000000	0.000000	4411457	4408061
Node_11	102	8	94	2	946	3378	0.085106	0.021277	4411457	4408273
Node_12	13	0	13	0	0	3168	0.000000	0.000000	4411471	4408287
Node_13	13	0	13	0	0	3168	0.000000	0.000000	4411472	4408288
Node_14	127	6	121	1	68	3193	0.049587	0.008264	4411457	4408273
Node_15	2	0	2	0	0	3168	0.000000	0.000000	4411472	4408288
Node_16	166	55	111	2	946	3168	0.495495	0.018018	4411472	4409061
Node_17	7	0	7	0	0	2397	0.000000	0.000000	4411530	4409119
Node_18	103	14	89	2	946	2397	0.157303	0.022472	4411530	4409365
Node_19	66	0	66	0	0	2571	0.000000	0.000000	4411462	4408874
Node_20	9	0	9	0	0	2571	0.000000	0.000000	4411491	4408903
Node_21	160	20	140	4	1208	2718	0.142857	0.028571	4411435	4408847
Node_22	3	0	3	0	0	2571	0.000000	0.000000	4411508	4408920
Node_23	5	0	5	0	0	2571	0.000000	0.000000	4411508	4408920
Node_24	154	23	131	4	1208	2571	0.175573	0.030534	4411508	4409260
Node_25	76	5	71	1	68	2235	0.070423	0.014085	4411532	4409367
Node_26	9	0	9	0	0	2153	0.000000	0.000000	4411532	4409367
Node_27	113	12	101	2	946	2153	0.118812	0.019802	4411532	4409624
Node_28	185	63	122	6	1222	3723	0.516393	0.049180	4411520	4409095
Node_29	54	4	50	1	68	2913	0.080000	0.020000	4411461	4408638
Node_30	98	25	73	1	68	2806	0.342466	0.013699	4411472	4408840
Node_31	34	6	28	1	68	2616	0.214286	0.035714	4411477	4408878
Node_32	28	7	21	1	68	2597	0.333333	0.047619	4411426	4408827
Node_33	103	0	103	0	0	2584	0.000000	0.000000	4411463	4408864
Node_34	32	0	32	0	0	2584	0.000000	0.000000	4411498	4408899
Node_35	133	20	113	3	965	2584	0.176991	0.026549	4411498	4409073
Node_36	158	15	143	2	946	2413	0.104895	0.013986	4411532	4409624
Node_37	87	9	78	2	946	2612	0.115385	0.025641	4411441	4409179
Node_38	0	0	0	0	0	2407	0.000000	0.000000	4411440	4409019
Node_39	161	20	141	1	68	2407	0.141844	0.007092	4411440	4409081
Node_40	163	45	118	5	1215	2869	0.381356	0.042373	4411284	4408925
Node_41	21	4	17	1	68	2346	0.235294	0.058824	4411452	4409190
Node_42	7	0	7	0	0	2250	0.000000	0.000000	4411455	4409193
Node_43	4	0	4	0	0	2250	0.000000	0.000000	4411455	4409193
Node_44	39	0	39	0	0	2250	0.000000	0.000000	4411455	4409193
Node_45	188	11	177	2	946	2250	0.062147	0.011299	4411471	4409563
Node_46	192	27	165	2	946	2766	0.163636	0.012121	4411516	4409608
Node_47	385	57	328	5	1215	2560	0.173780	0.015244	4411253	4409195
Node_48	55	5	50	1	68	2047	0.100000	0.020000	4411511	4409603
Node_49	46	10	36	2	946	2451	0.277778	0.055556	4411473	4409061
Node_50	3	0	3	0	0	2396	0.000000	0.000000	4411477	4409065
Node_51	66	6	60	1	68	2396	0.100000	0.016667	4411477	4409091
Node_52	21	4	17	1	68	2371	0.235294	0.058824	4411487	4409161
Node_53	4	0	4	0	0	2312	0.000000	0.000000	4411507	4409181
Node_54	0	0	0	0	0	2312	0.000000	0.000000	4411507	4409181
Node_55	0	0	0	0	0	2312	0.000000	0.000000	4411507	4409181
Node_56	88	9	79	2	946	2312	0.113924	0.025316	4411507	4409351
Node_57	34	0	34	0	0	2144	0.000000	0.000000	4411514	4409358
Node_58	116	10	106	2	946	2144	0.094340	0.018868	4411532	4409624
Node_59	26	0	26	0	0	1898	0.000000	0.000000	4411532	4409624
Node_60	14	0	14	0	0	1898	0.000000	0.000000	4411532	4409624
Node_61	20	0	20	0	0	1898	0.000000	0.000000	4411532	4409624
Node_62	3	0	3	0	0	1898	0.000000	0.000000	4411532	4409624
Node_63	68	0	68	0	0	1898	0.000000	0.000000	4411532	4409624
Node_64	6	0	6	0	0	1898	0.000000	0.000000	4411532	4409624
Node_65	208	16	192	2	946	1898	0.083333	0.010417	4411532	4409993
Node_66	1	0	1	0	0	2359	0.000000	0.000000	4411472	4409094
Node_67	216	17	199	3	965	2359	0.085427	0.015075	4411472	4409347
Node_68	6	0	6	0	0	2108	0.000000	0.000000	4411483	4409358
Node_69	25	4	21	1	68	2108	0.190476	0.047619	4411483	4409358
Node_70	153	7	146	1	68	2108	0.047945	0.006849	4411483	4409403
Node_71	345	32	313	6	1222	2064	0.102236	0.019169	4411504	4409820
Node_72	4	0	4	0	0	3900	0.000000	0.000000	4411511	4407597
Node_73	0	0	0	0	0	3900	0.000000	0.000000	4411511	4407597
Node_74	2	0	2	0	0	3900	0.000000	0.000000	4411511	4407597
Node_75	8	0	8	0	0	3900	0.000000	0.000000	4411511	4407597
Node_76	7	0	7	0	0	3900	0.000000	0.000000	4411511	4407597
Node_77	3	0	3	0	0	3900	0.000000	0.000000	4411511	4407597
Node_78	1	0	1	0	0	3900	0.000000	0.000000	4411461	4407547
Node_79	0	0	0	0	0	3900	0.000000	0.000000	4411461	4407547
Node_80	4	0	4	0	0	3900	0.000000	0.000000	4411461	4407547
Node_81	1	0	1	0	0	3900	0.000000	0.000000	4411511	4407597
Node_82	6	0	6	0	0	3900	0.000000	0.000000	4411511	4407597
Node_83	6	0	6	0	0	3900	0.000000	0.000000	4411511	4407597
Node_84	11	0	11	0	0	3900	0.000000	0.000000	4411511	4407597
Node_85	306	27	279	3	965	3900	0.096774	0.010753	4411511	4408431
Node_86	5	0	5	0	0	3386	0.000000	0.000000	4411516	4408116
Node_87	18	0	18	0	0	3386	0.000000	0.000000	4411516	4408116
Node_88	18	4	14	1	68	3386	0.285714	0.071429	4411516	4408116
Node_89	6	0	6	0	0	3386	0.000000	0.000000	4411516	4408116
Node_90	0	0	0	0	0	3386	0.000000	0.000000	4411516	4408116
Node_91	28	0	28	0	0	3386	0.000000	0.000000	4411516	4408116
Node_92	5	0	5	0	0	3386	0.000000	0.000000	4411516	4408116
Node_93	48	0	48	0	0	3386	0.000000	0.000000	4411516	4408116
Node_94	6	0	6	0	0	3386	0.000000	0.000000	4411532	4408132
Node_95	77	8	69	2	946	3658	0.115942	0.028986	4411523	4408123
Node_96	33	0	33	0	0	3386	0.000000	0.000000	4411532	4408132
Node_97	15	0	15	0	0	3386	0.000000	0.000000	4411532	4408132
Node_98	2	0	2	0	0	3386	0.000000	0.000000	4411532	4408132
Node_99	1	0	1	0	0	3600	0.000000	0.000000	4411528	4407912
Node_100	0	0	0	0	0	3600	0.000000	0.000000	4411528	4407912
Node_101	1	0	1	0	0	3600	0.000000	0.000000	4411528	4407912
Node_102	95	22	73	2	946	3600	0.301370	0.027397	4411528	4408128
Node_103	14	0	14	0	0	3386	0.000000	0.000000	4411532	4408132
Node_104	2	0	2	0	0	3386	0.000000	0.000000	4411530	4408130
Node_105	6	0	6	0	0	3386	0.000000	0.000000	4411530	4408130
Node_106	1	0	1	0	0	3386	0.000000	0.000000	4411532	4408132
Node_107	1	0	1	0	0	3386	0.000000	0.000000	4411532	4408132
Node_108	2	0	2	0	0	3386	0.000000	0.000000	4411532	4408132
Node_109	3	0	3	0	0	3386	0.000000	0.000000	4411532	4408132
Node_110	17	0	17	0	0	3386	0.000000	0.000000	4411532	4408132
Node_111	81	0	81	0	0	3386	0.000000	0.000000	4411532	4408132
Node_112	9	0	9	0	0	3386	0.000000	0.000000	4411532	4408132
Node_113	100	26	74	1	68	3833	0.351351	0.013514	4411513	4408113
Node_114	10	0	10	0	0	3386	0.000000	0.000000	4411531	4408131
Node_115	74	16	58	1	68	3425	0.275862	0.017241	4411520	4408120
Node_116	11	0	11	0	0	3386	0.000000	0.000000	4411529	4408129
Node_117	3	0	3	0	0	3386	0.000000	0.000000	4411509	4408109
Node_118	10	0	10	0	0	3386	0.000000	0.000000	4411509	4408109
Node_119	4	0	4	0	0	3386	0.000000	0.000000	4411502	4408102
Node_120	7	0	7	0	0	3386	0.000000	0.000000	4411508	4408108
Node_121	3	0	3	0	0	3386	0.000000	0.000000	4411509	4408109
Node_122	2	0	2	0	0	3386	0.000000	0.000000	4411509	4408109
Node_123	19	0	19	0	0	3386	0.000000	0.000000	4411509	4408109
Node_124	41	0	41	0	0	3386	0.000000	0.000000	4411509	4408109
Node_125	0	0	0	0	0	3386	0.000000	0.000000	4411532	4408132
Node_126	22	0	22	0	0	3386	0.000000	0.000000	4411532	4408132
Node_127	7	0	7	0	0	3386	0.000000	0.000000	4411532	4408132
Node_128	17	0	17	0	0	3386	0.000000	0.000000	4411532	4408132
Node_129	5	0	5	0	0	3386	0.000000	0.000000	4411532	4408132
Node_130	233	18	215	2	946	3386	0.083721	0.009302	4411532	4408452
Node_131	351	45	306	4	1208	3068	0.147059	0.013072	4411532	4409848
Node_132	89	16	73	2	946	1674	0.219178	0.027397	4411532	4409993
Node_133	410	58	352	8	1531	1531	0.164773	0.022727	4411532	4411532
Node_134	154	44	110	3	356	2770	0.400000	0.027273	4411484	4409237
Node_135	71	0	71	0	0	3082	0.000000	0.000000	4411490	4408395
Node_136	30	0	30	0	0	3082	0.000000	0.000000	4411495	4408400
Node_137	33	0	33	0	0	3082	0.000000	0.000000	4411499	4408404
Node_138	54	0	54	0	0	3082	0.000000	0.000000	4411494	4408399
Node_139	2	0	2	0	0	3082	0.000000	0.000000	4411499	4408404
Node_140	5	0	5	0	0	3082	0.000000	0.000000	4411499	4408404
Node_141	1	0	1	0	0	3082	0.000000	0.000000	4411499	4408404
Node_142	145	14	131	2	337	3082	0.106870	0.015267	4411499	4408719
Node_143	23	0	23	0	0	2769	0.000000	0.000000	4411500	4408720
Node_144	46	5	41	1	122	2769	0.121951	0.024390	4411500	4408956
Node_145	168	9	159	1	122	2534	0.056604	0.006289	4411500	4409027
Node_146	56	7	49	1	122	2463	0.142857	0.020408	4411500	4409253
Node_147	608	65	543	9	2238	2238	0.119705	0.016575	4411500	4411500
Node_148	7	0	7	0	0	0	0.000000	0.000000	4411532	4411532
Node_149	41	0	41	0	0	0	0.000000	0.000000	4411532	4411532
Node_150	0	0	0	0	0	0	0.000000	0.000000	4411532	4411532
