Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame	Lineage	BranchLen	Num_Tips_Downstream	Total_SNPs
MT_0080	194	16	178	2	946	2544	0.089888	0.011236	4411447	4409020	lineage4	179.037796	0.0	194
TB3054	283	41	242	4	1208	2966	0.169421	0.016529	4411472	4409414	lineage4	251.915771	0.0	283
TB3251	528	69	459	7	1256	3447	0.150327	0.015251	4411476	4409568	lineage4	477.10672	0.0	528
M0016737_0	258	19	239	4	1208	2941	0.079498	0.016736	4411468	4408691	lineage4	235.026428	0.0	258
TB2661	24	0	24	0	0	2913	0.0	0.0	4411455	4408524	lineage4	22.071014	0.0	24
TB3237	177	48	129	5	1215	2511	0.372093	0.03876	4411400	4409138	lineage4	129.353577	0.0	177
TB3169	111	0	111	0	0	3419	0.0	0.0	4411448	4408012	lineage4	112.829918	0.0	111
TB3386	33	16	17	1	68	3054	0.941176	0.058824	4411457	4408526	lineage4	17.310825	0.0	33
TB3334	223	27	196	4	1208	2986	0.137755	0.020408	4411512	4409101	lineage4	196.981812	0.0	223
M0011368_9	98	0	98	0	0	2612	0.0	0.0	4411430	4408804	lineage4	97.212547	0.0	98
TB2968	212	13	199	3	965	2387	0.065327	0.015075	4411487	4409331	lineage4	205.460999	0.0	212
N1272	234	27	207	5	1516	2631	0.130435	0.024155	4411374	4409501	lineage5	213.433655	0.0	234
N1176	234	0	234	0	0	1867	0.0	0.0	4411341	4409468	lineage5	238.745193	0.0	234
N1202	370	23	347	3	306	3188	0.066282	0.008646	4411300	4409294	lineage6	351.783752	0.0	370
N1177	459	22	437	2	113	2209	0.050343	0.004577	4411302	4409296	lineage6	454.206879	0.0	459
N0091	408	25	383	2	113	3418	0.065274	0.005222	4411285	4409279	lineage6	395.670074	0.0	408
RW-TB008	1248	172	1076	16	5192	5192	0.159851	0.01487	4411251	4411251	lineage8	1147.000244	0.0	1248
9050-05	11	0	11	0	0	3386	0.0	0.0	4411501	4408101	lineage2	10.943772	0.0	11
4549-04	26	0	26	0	0	3386	0.0	0.0	4411499	4408099	lineage2	25.19314	0.0	26
696-05	20	0	20	0	0	3386	0.0	0.0	4411501	4408101	lineage2	19.138721	0.0	20
702-06	13	0	13	0	0	3386	0.0	0.0	4411505	4408105	lineage2	12.260643	0.0	13
706-05	28	5	23	1	68	3614	0.217391	0.043478	4411513	4407897	lineage2	23.152056	0.0	28
8129-04	62	0	62	0	0	3386	0.0	0.0	4411514	4408114	lineage2	63.226837	0.0	62
3003-06	20	0	20	0	0	3386	0.0	0.0	4411489	4408089	lineage2	19.468973	0.0	20
8651-04	19	0	19	0	0	3386	0.0	0.0	4411495	4408095	lineage2	19.145647	0.0	19
QC-3	4	0	4	0	0	2359	0.0	0.0	4411471	4409093	lineage3	4.051728	0.0	4
QC-9	4	0	4	0	0	2359	0.0	0.0	4411459	4409081	lineage3	4.011013	0.0	4
QC-5	1	0	1	0	0	2359	0.0	0.0	4411470	4409092	lineage3	1.002528	0.0	1
QC-8	3	0	3	0	0	3378	0.0	0.0	4411456	4408060	lineage4	3.013293	0.0	3
QC-10	1	0	1	0	0	3378	0.0	0.0	4411446	4408050	lineage4	1.00453	0.0	1
QC-4	5	0	5	0	0	3378	0.0	0.0	4411457	4408061	lineage4	5.030644	0.0	5
QC-7	100	16	84	2	946	2927	0.190476	0.02381	4411400	4408801	lineage4	84.766594	0.0	100
QC-6	6	0	6	0	0	2597	0.0	0.0	4411424	4408811	lineage4	6.04021	0.0	6
QC-1	3	0	3	0	0	2597	0.0	0.0	4411425	4408812	lineage4	3.022155	0.0	3
mada_1-10	403	81	322	8	2132	4075	0.251553	0.024845	4411451	4408671	lineage1	324.871124	0.0	403
mada_2-46	99	4	95	1	122	3101	0.042105	0.010526	4411436	4408341	lineage1	93.285614	0.0	99
mada_1-1	151	62	89	5	532	3612	0.696629	0.05618	4411492	4408397	lineage1	88.426987	0.0	151
mada_1-36	103	36	67	2	337	4006	0.537313	0.029851	4411489	4408394	lineage1	65.434235	0.0	103
mada_1-39	202	14	188	1	122	3622	0.074468	0.005319	4411423	4408328	lineage1	187.974487	0.0	202
mada_1-51	88	4	84	1	122	3091	0.047619	0.011905	4411493	4408398	lineage1	82.476639	0.0	88
mada_1-44	139	30	109	1	122	3632	0.275229	0.009174	4411474	4408379	lineage1	108.663239	0.0	139
mada_117	85	0	85	0	0	3082	0.0	0.0	4411442	4408347	lineage1	87.383705	0.0	85
mada_118	298	28	270	4	391	3314	0.103704	0.014815	4411480	4408700	lineage1	274.295288	0.0	298
mada_122	155	9	146	2	337	3163	0.061644	0.013699	4411478	4408383	lineage1	147.103027	0.0	155
mada_107	116	15	101	1	122	3282	0.148515	0.009901	4411498	4408403	lineage1	99.601738	0.0	116
R27252	486	29	457	5	532	3288	0.063457	0.010941	4411425	4408643	lineage1	469.712128	0.0	486
R23887	513	49	464	6	1098	2960	0.105603	0.012931	4411440	4408658	lineage1	478.831085	0.0	513
R30215	16	0	16	0	0	3833	0.0	0.0	4411498	4407650	lineage2	16.12764	0.0	16
R30078	0	0	0	0	0	3386	0.0	0.0	4411530	4408130	lineage2	0.021911	0.0	0
R29816	5	0	5	0	0	3386	0.0	0.0	4411531	4408131	lineage2	5.023513	0.0	5
R30234	0	0	0	0	0	3386	0.0	0.0	4411532	4408132	lineage2	0.021911	0.0	0
18_0621851	121	4	117	1	68	3504	0.034188	0.008547	4411472	4408072	lineage2	119.403618	0.0	121
R36431	8	0	8	0	0	3386	0.0	0.0	4411531	4408131	lineage2	8.035981	0.0	8
R28703	19	0	19	0	0	3386	0.0	0.0	4411529	4408129	lineage2	18.086868	0.0	19
mada_115	5	0	5	0	0	3658	0.0	0.0	4411514	4407840	lineage2	5.059687	0.0	5
mada_2-42	19	0	19	0	0	3658	0.0	0.0	4411523	4407849	lineage2	19.102692	0.0	19
R31095	2	0	2	0	0	3386	0.0	0.0	4411531	4408131	lineage2	2.008271	0.0	2
R28012	0	0	0	0	0	3386	0.0	0.0	4411530	4408130	lineage2	0.021911	0.0	0
R37765	141	18	123	2	946	3632	0.146341	0.01626	4411523	4408123	lineage2	122.944092	0.0	141
R27657	1	0	1	0	0	3386	0.0	0.0	4411530	4408130	lineage2	1.004388	0.0	1
R25048	16	5	11	1	68	3842	0.454545	0.090909	4411479	4407631	lineage2	11.075109	0.0	16
R24120	11	0	11	0	0	3386	0.0	0.0	4411531	4408131	lineage2	11.049156	0.0	11
R28581	23	0	23	0	0	3386	0.0	0.0	4411516	4408116	lineage2	23.153234	0.0	23
R29598	3	0	3	0	0	3386	0.0	0.0	4411516	4408116	lineage2	3.014922	0.0	3
mada_1-11	45	0	45	0	0	3386	0.0	0.0	4411494	4408094	lineage2	45.383598	0.0	45
R24100	6	0	6	0	0	3386	0.0	0.0	4411516	4408116	lineage2	6.034554	0.0	6
R21408	12	0	12	0	0	3900	0.0	0.0	4411510	4407596	lineage2	12.087024	0.0	12
R20574	0	0	0	0	0	3900	0.0	0.0	4411511	4407597	lineage2	0.021911	0.0	0
R20260	1	0	1	0	0	3900	0.0	0.0	4411511	4407597	lineage2	1.006457	0.0	1
R18043	1	0	1	0	0	3900	0.0	0.0	4411461	4407547	lineage2	1.007214	0.0	1
R22601	2	0	2	0	0	3900	0.0	0.0	4411461	4407547	lineage2	2.008265	0.0	2
R23146	8	0	8	0	0	3900	0.0	0.0	4411498	4407584	lineage2	8.058088	0.0	8
R32929	11	0	11	0	0	3900	0.0	0.0	4411511	4407597	lineage2	11.075379	0.0	11
R21893	28	0	28	0	0	3900	0.0	0.0	4411497	4407583	lineage2	29.405403	0.0	28
R30420	11	0	11	0	0	3900	0.0	0.0	4411511	4407597	lineage2	11.077966	0.0	11
R26778	9	0	9	0	0	3900	0.0	0.0	4411461	4407547	lineage2	9.067066	0.0	9
R26791	6	0	6	0	0	3900	0.0	0.0	4411511	4407597	lineage2	6.040197	0.0	6
R28980	7	0	7	0	0	3900	0.0	0.0	4411489	4407575	lineage2	7.05418	0.0	7
R27725	6	0	6	0	0	3900	0.0	0.0	4411511	4407597	lineage2	6.041202	0.0	6
R18040	2	0	2	0	0	3900	0.0	0.0	4411460	4407546	lineage2	2.008537	0.0	2
R27937	3	0	3	0	0	3900	0.0	0.0	4411461	4407547	lineage2	3.028198	0.0	3
mada_1-30	185	0	185	0	0	2108	0.0	0.0	4411434	4409309	lineage3	186.974823	0.0	185
mada_2-31	4	0	4	0	0	3743	0.0	0.0	4411452	4407688	lineage4	4.094719	0.0	4
mada_1-41	3	0	3	0	0	3743	0.0	0.0	4411446	4407682	lineage4	2.95243	0.0	3
R21770	153	21	132	2	946	2648	0.159091	0.015152	4411469	4408881	lineage4	131.088516	0.0	153
R21839	46	4	42	1	68	2827	0.095238	0.02381	4411456	4408868	lineage4	42.782887	0.0	46
mada_1-32	146	39	107	2	946	2842	0.364486	0.018692	4411481	4408893	lineage4	103.76046	0.0	146
R30396	7	0	7	0	0	2718	0.0	0.0	4411435	4408697	lineage4	7.038888	0.0	7
R21363	53	14	39	1	68	2759	0.358974	0.025641	4411460	4408872	lineage4	39.636921	0.0	53
R20896	6	0	6	0	0	2718	0.0	0.0	4411435	4408697	lineage4	6.028324	0.0	6
mada_102	164	4	160	1	68	2667	0.025	0.00625	4411414	4408987	lineage4	163.989822	0.0	164
mada_129	105	0	105	0	0	3168	0.0	0.0	4411417	4408233	lineage4	106.432014	0.0	105
mada_139	112	13	99	2	946	3242	0.131313	0.020202	4411416	4408232	lineage4	100.217964	0.0	112
mada_151	95	19	76	4	1208	3991	0.25	0.052632	4411427	4407991	lineage4	76.573837	0.0	95
mada_105	153	33	120	1	68	3549	0.275	0.008333	4411454	4408018	lineage4	120.452942	0.0	153
R15311	136	25	111	3	87	4026	0.225225	0.027027	4411473	4407733	lineage4	112.328995	0.0	136
mada_103	10	0	10	0	0	2407	0.0	0.0	4411439	4409018	lineage4	10.046853	0.0	10
mada_2-25	162	4	158	1	68	2374	0.025316	0.006329	4411391	4409129	lineage4	157.210175	0.0	162
mada_112	7	0	7	0	0	2407	0.0	0.0	4411440	4409019	lineage4	7.03193	0.0	7
mada_124	15	0	15	0	0	2407	0.0	0.0	4411426	4409005	lineage4	15.078385	0.0	15
mada_126	6	0	6	0	0	2560	0.0	0.0	4411252	4408677	lineage4	7.02677	0.0	6
mada_120	6	0	6	0	0	2560	0.0	0.0	4411253	4408678	lineage4	5.08604	0.0	6
R23571	111	0	111	0	0	2371	0.0	0.0	4411478	4409092	lineage4	112.157562	0.0	111
mada_128	141	15	126	2	946	2409	0.119048	0.015873	4411456	4409130	lineage4	126.679008	0.0	141
mada_1-12	133	14	119	2	946	2564	0.117647	0.016807	4411483	4409157	lineage4	117.462891	0.0	133
mada_1-15	135	6	129	1	68	2342	0.046512	0.007752	4411503	4409177	lineage4	130.402161	0.0	135
mada_2-1	40	0	40	0	0	2396	0.0	0.0	4411474	4409062	lineage4	36.271915	0.0	40
mada_1-53	0	0	0	0	0	2451	0.0	0.0	4411473	4409004	lineage4	0.021911	0.0	0
mada_1-50	60	34	26	2	946	3252	1.307692	0.076923	4411475	4409063	lineage4	26.194555	0.0	60
mada_123	175	39	136	2	946	2830	0.286765	0.014706	4411467	4409141	lineage4	137.704224	0.0	175
mada_2-53	1	0	1	0	0	2451	0.0	0.0	4411473	4409004	lineage4	1.004528	0.0	1
mada_1-38	266	28	238	4	1208	2396	0.117647	0.016807	4411531	4409375	lineage4	241.273499	0.0	266
S0070-08	32	0	32	0	0	3386	0.0	0.0	4411514	4408114	lineage2	32.224609	0.0	32
S0085-01	37	0	37	0	0	3386	0.0	0.0	4411504	4408104	lineage2	37.290928	0.0	37
S0107-01	8	0	8	0	0	3386	0.0	0.0	4411516	4408116	lineage2	8.044448	0.0	8
S0089-01	19	0	19	0	0	3386	0.0	0.0	4411516	4408116	lineage2	19.137539	0.0	19
S0256-08	27	7	20	1	68	3446	0.35	0.05	4411480	4408080	lineage2	20.162609	0.0	27
S0123-01	0	0	0	0	0	2869	0.0	0.0	4411284	4408397	lineage4	0.021911	0.0	0
S0106-01	136	15	121	2	946	2850	0.123967	0.016529	4411460	4408872	lineage4	119.663727	0.0	136
S0262-02	1	0	1	0	0	2869	0.0	0.0	4411284	4408397	lineage4	1.009005	0.0	1
Node_1	882	66	816	6	1867	1867	0.080882	0.007353	4411389	4411389	lineage5	827.408081	2.0	882
Node_2	71	0	71	0	0	2001	0.0	0.0	4411333	4409327	lineage6	63.767738	2.0	71
Node_3	787	41	746	5	2001	2001	0.05496	0.006702	4411333	4411333	lineage6	751.77594	3.0	787
Node_4	0	0	0	0	0	0	0.0	0.0	4411491	4411491	None	15.591063	5.0	0
Node_5	414	84	330	10	1898	3743	0.254545	0.030303	4411452	4409287	lineage4	338.311371	2.0	414
Node_6	47	7	40	1	68	2412	0.175	0.025	4411447	4409036	lineage4	37.482399	2.0	47
Node_7	7	0	7	0	0	3419	0.0	0.0	4411458	4408022	lineage4	5.957747	2.0	7
Node_8	9	0	9	0	0	3419	0.0	0.0	4411472	4408036	lineage4	9.464106	3.0	9
Node_9	29	24	5	1	68	3419	4.8	0.2	4411472	4408288	lineage4	6.046785	4.0	29
Node_10	3	0	3	0	0	3378	0.0	0.0	4411457	4408061	lineage4	3.005237	2.0	3
Node_11	102	8	94	2	946	3378	0.085106	0.021277	4411457	4408273	lineage4	94.033058	3.0	102
Node_12	13	0	13	0	0	3168	0.0	0.0	4411471	4408287	lineage4	12.989728	4.0	13
Node_13	13	0	13	0	0	3168	0.0	0.0	4411472	4408288	lineage4	12.216484	8.0	13
Node_14	127	6	121	1	68	3193	0.049587	0.008264	4411457	4408273	lineage4	118.54969	2.0	127
Node_15	2	0	2	0	0	3168	0.0	0.0	4411472	4408288	lineage4	1.785691	3.0	2
Node_16	166	55	111	2	946	3168	0.495495	0.018018	4411472	4409061	lineage4	108.47805	11.0	166
Node_17	7	0	7	0	0	2397	0.0	0.0	4411530	4409119	lineage4	3.684918	12.0	7
Node_18	103	14	89	2	946	2397	0.157303	0.022472	4411530	4409365	lineage4	92.992012	14.0	103
Node_19	66	0	66	0	0	2571	0.0	0.0	4411462	4408874	lineage4	66.570877	2.0	66
Node_20	9	0	9	0	0	2571	0.0	0.0	4411491	4408903	lineage4	9.245035	3.0	9
Node_21	160	20	140	4	1208	2718	0.142857	0.028571	4411435	4408847	lineage4	141.914154	2.0	160
Node_22	3	0	3	0	0	2571	0.0	0.0	4411508	4408920	lineage4	3.317856	3.0	3
Node_23	5	0	5	0	0	2571	0.0	0.0	4411508	4408920	lineage4	4.843849	6.0	5
Node_24	154	23	131	4	1208	2571	0.175573	0.030534	4411508	4409260	lineage4	135.877197	7.0	154
Node_25	76	5	71	1	68	2235	0.070423	0.014085	4411532	4409367	lineage4	71.240379	8.0	76
Node_26	9	0	9	0	0	2153	0.0	0.0	4411532	4409367	lineage4	4.501647	22.0	9
Node_27	113	12	101	2	946	2153	0.118812	0.019802	4411532	4409624	lineage4	107.504395	24.0	113
Node_28	185	63	122	6	1222	3723	0.516393	0.04918	4411520	4409095	lineage4	118.795532	2.0	185
Node_29	54	4	50	1	68	2913	0.08	0.02	4411461	4408638	lineage4	49.874142	2.0	54
Node_30	98	25	73	1	68	2806	0.342466	0.013699	4411472	4408840	lineage4	73.098526	3.0	98
Node_31	34	6	28	1	68	2616	0.214286	0.035714	4411477	4408878	lineage4	28.392572	4.0	34
Node_32	28	7	21	1	68	2597	0.333333	0.047619	4411426	4408827	lineage4	21.022734	2.0	28
Node_33	103	0	103	0	0	2584	0.0	0.0	4411463	4408864	lineage4	105.327232	3.0	103
Node_34	32	0	32	0	0	2584	0.0	0.0	4411498	4408899	lineage4	31.577095	4.0	32
Node_35	133	20	113	3	965	2584	0.176991	0.026549	4411498	4409073	lineage4	113.156693	8.0	133
Node_36	158	15	143	2	946	2413	0.104895	0.013986	4411532	4409624	lineage4	145.858322	10.0	158
Node_37	87	9	78	2	946	2612	0.115385	0.025641	4411441	4409179	lineage4	80.02179	2.0	87
Node_38	0	0	0	0	0	2407	0.0	0.0	4411440	4409019	lineage4	0.021911	2.0	0
Node_39	161	20	141	1	68	2407	0.141844	0.007092	4411440	4409081	lineage4	144.489822	3.0	161
Node_40	163	45	118	5	1215	2869	0.381356	0.042373	4411284	4408925	lineage4	117.694168	2.0	163
Node_41	21	4	17	1	68	2346	0.235294	0.058824	4411452	4409190	lineage4	17.01837	5.0	21
Node_42	7	0	7	0	0	2250	0.0	0.0	4411455	4409193	lineage4	6.761787	2.0	7
Node_43	4	0	4	0	0	2250	0.0	0.0	4411455	4409193	lineage4	2.988876	3.0	4
Node_44	39	0	39	0	0	2250	0.0	0.0	4411455	4409193	lineage4	39.839088	8.0	39
Node_45	188	11	177	2	946	2250	0.062147	0.011299	4411471	4409563	lineage4	184.095734	10.0	188
Node_46	192	27	165	2	946	2766	0.163636	0.012121	4411516	4409608	lineage4	168.641663	2.0	192
Node_47	385	57	328	5	1215	2560	0.17378	0.015244	4411253	4409195	lineage4	332.408112	2.0	385
Node_48	55	5	50	1	68	2047	0.1	0.02	4411511	4409603	lineage4	45.928902	3.0	55
Node_49	46	10	36	2	946	2451	0.277778	0.055556	4411473	4409061	lineage4	36.248646	2.0	46
Node_50	3	0	3	0	0	2396	0.0	0.0	4411477	4409065	lineage4	2.946752	3.0	3
Node_51	66	6	60	1	68	2396	0.1	0.016667	4411477	4409091	lineage4	60.6996	4.0	66
Node_52	21	4	17	1	68	2371	0.235294	0.058824	4411487	4409161	lineage4	17.072317	5.0	21
Node_53	4	0	4	0	0	2312	0.0	0.0	4411507	4409181	lineage4	3.27766	6.0	4
Node_54	0	0	0	0	0	2312	0.0	0.0	4411507	4409181	lineage4	0.715018	2.0	0
Node_55	0	0	0	0	0	2312	0.0	0.0	4411507	4409181	lineage4	0.759081	3.0	0
Node_56	88	9	79	2	946	2312	0.113924	0.025316	4411507	4409351	lineage4	77.655228	9.0	88
Node_57	34	0	34	0	0	2144	0.0	0.0	4411514	4409358	lineage4	34.715218	10.0	34
Node_58	116	10	106	2	946	2144	0.09434	0.018868	4411532	4409624	lineage4	106.574959	11.0	116
Node_59	26	0	26	0	0	1898	0.0	0.0	4411532	4409624	lineage4	26.312645	12.0	26
Node_60	14	0	14	0	0	1898	0.0	0.0	4411532	4409624	lineage4	15.362325	15.0	14
Node_61	20	0	20	0	0	1898	0.0	0.0	4411532	4409624	lineage4	20.519281	17.0	20
Node_62	3	0	3	0	0	1898	0.0	0.0	4411532	4409624	lineage4	2.291335	27.0	3
Node_63	68	0	68	0	0	1898	0.0	0.0	4411532	4409624	lineage4	67.576416	37.0	68
Node_64	6	0	6	0	0	1898	0.0	0.0	4411532	4409624	lineage4	4.121439	38.0	6
Node_65	208	16	192	2	946	1898	0.083333	0.010417	4411532	4409993	lineage4	199.414017	62.0	208
Node_66	1	0	1	0	0	2359	0.0	0.0	4411472	4409094	lineage3	0.96104	2.0	1
Node_67	216	17	199	3	965	2359	0.085427	0.015075	4411472	4409347	lineage3	201.63002	3.0	216
Node_68	6	0	6	0	0	2108	0.0	0.0	4411483	4409358	lineage3	3.819456	2.0	6
Node_69	25	4	21	1	68	2108	0.190476	0.047619	4411483	4409358	lineage3	22.288422	5.0	25
Node_70	153	7	146	1	68	2108	0.047945	0.006849	4411483	4409403	lineage3	142.327759	6.0	153
Node_71	345	32	313	6	1222	2064	0.102236	0.019169	4411504	4409820	lineage3	321.303497	7.0	345
Node_72	4	0	4	0	0	3900	0.0	0.0	4411511	4407597	lineage2	4.027206	2.0	4
Node_73	0	0	0	0	0	3900	0.0	0.0	4411511	4407597	lineage2	0.021911	3.0	0
Node_74	2	0	2	0	0	3900	0.0	0.0	4411511	4407597	lineage2	2.011752	4.0	2
Node_75	8	0	8	0	0	3900	0.0	0.0	4411511	4407597	lineage2	8.363429	5.0	8
Node_76	7	0	7	0	0	3900	0.0	0.0	4411511	4407597	lineage2	7.047172	2.0	7
Node_77	3	0	3	0	0	3900	0.0	0.0	4411511	4407597	lineage2	3.026383	3.0	3
Node_78	1	0	1	0	0	3900	0.0	0.0	4411461	4407547	lineage2	1.007166	2.0	1
Node_79	0	0	0	0	0	3900	0.0	0.0	4411461	4407547	lineage2	0.021911	3.0	0
Node_80	4	0	4	0	0	3900	0.0	0.0	4411461	4407547	lineage2	4.029737	4.0	4
Node_81	1	0	1	0	0	3900	0.0	0.0	4411511	4407597	lineage2	1.006077	5.0	1
Node_82	6	0	6	0	0	3900	0.0	0.0	4411511	4407597	lineage2	6.034941	6.0	6
Node_83	6	0	6	0	0	3900	0.0	0.0	4411511	4407597	lineage2	5.952704	9.0	6
Node_84	11	0	11	0	0	3900	0.0	0.0	4411511	4407597	lineage2	9.731116	14.0	11
Node_85	306	27	279	3	965	3900	0.096774	0.010753	4411511	4408431	lineage2	285.983459	15.0	306
Node_86	5	0	5	0	0	3386	0.0	0.0	4411516	4408116	lineage2	5.011349	2.0	5
Node_87	18	0	18	0	0	3386	0.0	0.0	4411516	4408116	lineage2	18.118465	2.0	18
Node_88	18	4	14	1	68	3386	0.285714	0.071429	4411516	4408116	lineage2	11.067574	3.0	18
Node_89	6	0	6	0	0	3386	0.0	0.0	4411516	4408116	lineage2	6.036208	2.0	6
Node_90	0	0	0	0	0	3386	0.0	0.0	4411516	4408116	lineage2	0.021911	5.0	0
Node_91	28	0	28	0	0	3386	0.0	0.0	4411516	4408116	lineage2	28.264603	7.0	28
Node_92	5	0	5	0	0	3386	0.0	0.0	4411516	4408116	lineage2	4.938261	8.0	5
Node_93	48	0	48	0	0	3386	0.0	0.0	4411516	4408116	lineage2	48.52079	9.0	48
Node_94	6	0	6	0	0	3386	0.0	0.0	4411532	4408132	lineage2	5.981537	10.0	6
Node_95	77	8	69	2	946	3658	0.115942	0.028986	4411523	4408123	lineage2	70.410431	2.0	77
Node_96	33	0	33	0	0	3386	0.0	0.0	4411532	4408132	lineage2	33.570278	3.0	33
Node_97	15	0	15	0	0	3386	0.0	0.0	4411532	4408132	lineage2	15.686666	4.0	15
Node_98	2	0	2	0	0	3386	0.0	0.0	4411532	4408132	lineage2	2.007249	14.0	2
Node_99	1	0	1	0	0	3600	0.0	0.0	4411528	4407912	lineage2	1.00043	2.0	1
Node_100	0	0	0	0	0	3600	0.0	0.0	4411528	4407912	lineage2	0.021911	3.0	0
Node_101	1	0	1	0	0	3600	0.0	0.0	4411528	4407912	lineage2	0.996176	2.0	1
Node_102	95	22	73	2	946	3600	0.30137	0.027397	4411528	4408128	lineage2	74.020088	5.0	95
Node_103	14	0	14	0	0	3386	0.0	0.0	4411532	4408132	lineage2	14.444493	2.0	14
Node_104	2	0	2	0	0	3386	0.0	0.0	4411530	4408130	lineage2	2.008759	2.0	2
Node_105	6	0	6	0	0	3386	0.0	0.0	4411530	4408130	lineage2	6.028023	3.0	6
Node_106	1	0	1	0	0	3386	0.0	0.0	4411532	4408132	lineage2	1.030911	5.0	1
Node_107	1	0	1	0	0	3386	0.0	0.0	4411532	4408132	lineage2	1.02998	6.0	1
Node_108	2	0	2	0	0	3386	0.0	0.0	4411532	4408132	lineage2	2.062156	7.0	2
Node_109	3	0	3	0	0	3386	0.0	0.0	4411532	4408132	lineage2	3.093079	8.0	3
Node_110	17	0	17	0	0	3386	0.0	0.0	4411532	4408132	lineage2	16.4916	9.0	17
Node_111	81	0	81	0	0	3386	0.0	0.0	4411532	4408132	lineage2	81.565605	10.0	81
Node_112	9	0	9	0	0	3386	0.0	0.0	4411532	4408132	lineage2	8.977846	15.0	9
Node_113	100	26	74	1	68	3833	0.351351	0.013514	4411513	4408113	lineage2	73.576912	2.0	100
Node_114	10	0	10	0	0	3386	0.0	0.0	4411531	4408131	lineage2	9.933592	2.0	10
Node_115	74	16	58	1	68	3425	0.275862	0.017241	4411520	4408120	lineage2	56.67012	2.0	74
Node_116	11	0	11	0	0	3386	0.0	0.0	4411529	4408129	lineage2	11.187318	3.0	11
Node_117	3	0	3	0	0	3386	0.0	0.0	4411509	4408109	lineage2	3.823977	2.0	3
Node_118	10	0	10	0	0	3386	0.0	0.0	4411509	4408109	lineage2	8.14043	2.0	10
