Chrom	Start	End	Strand	Feature	H37rv_GeneID	Symbol	Functional_Category	Gene_Cat_V2	N_Pos	N_Neg	Total	Positive_Proportion	Middle	Length	AnyPosEpitope	Antigen_LVL2	N_HmRegion	HasHmRegion	AntigenLVL2_And_HHR_Comb
NC_000962.3	17466	18762	-	CDS	Rv0015c	pknA	regulatory proteins	regulatory proteins	0	6	6	0.0	18114.0	1296	False	False	0	False	NonReactive-Unq
NC_000962.3	18758	20234	-	CDS	Rv0016c	pbpA	cell wall and cell processes	cell wall and cell processes	1	6	7	0.14285714285714285	19496.0	1476	True	False	0	False	NonReactive-Unq
NC_000962.3	20230	21640	-	CDS	Rv0017c	rodA	cell wall and cell processes	cell wall and cell processes	0	7	7	0.0	20935.0	1410	False	False	0	False	NonReactive-Unq
NC_000962.3	21636	23181	-	CDS	Rv0018c	pstP	regulatory proteins	regulatory proteins	0	8	8	0.0	22408.5	1545	False	False	0	False	NonReactive-Unq
NC_000962.3	23269	23737	-	CDS	Rv0019c	fhaB	regulatory proteins	regulatory proteins	0	2	2	0.0	23503.0	468	False	False	0	False	NonReactive-Unq
NC_000962.3	23860	25444	-	CDS	Rv0020c	fhaA	regulatory proteins	regulatory proteins	0	8	8	0.0	24652.0	1584	False	False	0	False	NonReactive-Unq
NC_000962.3	25912	26881	-	CDS	Rv0021c	Rv0021c	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	26396.5	969	False	False	0	False	NonReactive-Unq
NC_000962.3	27022	27442	-	CDS	Rv0022c	whiB5	regulatory proteins	regulatory proteins	0	2	2	0.0	27232.0	420	False	False	0	False	NonReactive-Unq
NC_000962.3	27594	28365	+	CDS	Rv0023	Rv0023	regulatory proteins	regulatory proteins	0	4	4	0.0	27979.5	771	False	False	0	False	NonReactive-Unq
NC_000962.3	28361	29207	+	CDS	Rv0024	Rv0024	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	4	4	0.0	28784.0	846	False	False	0	False	NonReactive-Unq
NC_000962.3	29244	29607	+	CDS	Rv0025	Rv0025	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	29425.5	363	False	False	0	False	NonReactive-Unq
NC_000962.3	29721	31068	+	CDS	Rv0026	Rv0026	conserved hypotheticals	conserved hypotheticals	0	7	7	0.0	30394.5	1347	False	False	0	False	NonReactive-Unq
NC_000962.3	31188	31506	+	CDS	Rv0027	Rv0027	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	31347.0	318	False	False	0	False	NonReactive-Unq
NC_000962.3	31513	31819	+	CDS	Rv0028	Rv0028	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	31666.0	306	False	False	0	False	NonReactive-Unq
NC_000962.3	32056	33154	+	CDS	Rv0029	Rv0029	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	32605.0	1098	False	False	0	False	NonReactive-Unq
NC_000962.3	33223	33553	+	CDS	Rv0030	Rv0030	conserved hypotheticals	conserved hypotheticals	0	1	1	0.0	33388.0	330	False	False	0	False	NonReactive-Unq
NC_000962.3	34294	36610	+	CDS	Rv0032	bioF2	intermediary metabolism and respiration	intermediary metabolism and respiration	0	10	10	0.0	35452.0	2316	False	False	0	False	NonReactive-Unq
NC_000962.3	36606	36870	+	CDS	Rv0033	acpA	lipid metabolism	lipid metabolism	0	1	1	0.0	36738.0	264	False	False	0	False	NonReactive-Unq
NC_000962.3	36866	37262	+	CDS	Rv0034	Rv0034	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	37064.0	396	False	False	0	False	NonReactive-Unq
NC_000962.3	37258	38947	+	CDS	Rv0035	fadD34	lipid metabolism	lipid metabolism	0	8	8	0.0	38102.5	1689	False	False	0	False	NonReactive-Unq
NC_000962.3	39055	39829	-	CDS	Rv0036c	Rv0036c	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	39442.0	774	False	False	0	False	NonReactive-Unq
NC_000962.3	39876	41202	-	CDS	Rv0037c	Rv0037c	cell wall and cell processes	cell wall and cell processes	0	7	7	0.0	40539.0	1326	False	False	0	False	NonReactive-Unq
NC_000962.3	41303	41912	+	CDS	Rv0038	Rv0038	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	41607.5	609	False	False	0	False	NonReactive-Unq
NC_000962.3	42003	42351	-	CDS	Rv0039c	Rv0039c	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	42177.0	348	False	False	0	False	NonReactive-Unq
NC_000962.3	42432	43365	-	CDS	Rv0040c	mtc28	cell wall and cell processes	cell wall and cell processes	1	4	5	0.2	42898.5	933	True	False	0	False	NonReactive-Unq
NC_000962.3	43561	46471	+	CDS	Rv0041	leuS	information pathways	information pathways	0	10	10	0.0	45016.0	2910	False	False	0	False	NonReactive-Unq
NC_000962.3	46580	47207	-	CDS	Rv0042c	Rv0042c	regulatory proteins	regulatory proteins	0	3	3	0.0	46893.5	627	False	False	0	False	NonReactive-Unq
NC_000962.3	47365	48100	-	CDS	Rv0043c	Rv0043c	regulatory proteins	regulatory proteins	0	4	4	0.0	47732.5	735	False	False	0	False	NonReactive-Unq
NC_000962.3	48232	49027	-	CDS	Rv0044c	Rv0044c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	48629.5	795	False	False	0	False	NonReactive-Unq
NC_000962.3	49042	49939	-	CDS	Rv0045c	Rv0045c	lipid metabolism	lipid metabolism	0	4	4	0.0	49490.5	897	False	False	0	False	NonReactive-Unq
NC_000962.3	50020	51124	-	CDS	Rv0046c	ino1	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	50572.0	1104	False	False	0	False	NonReactive-Unq
NC_000962.3	51184	51727	-	CDS	Rv0047c	Rv0047c	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	51455.5	543	False	False	0	False	NonReactive-Unq
NC_000962.3	51827	52697	-	CDS	Rv0048c	Rv0048c	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	52262.0	870	False	False	0	False	NonReactive-Unq
NC_000962.3	52830	53244	+	CDS	Rv0049	Rv0049	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	53037.0	414	False	False	0	False	NonReactive-Unq
NC_000962.3	53662	55699	+	CDS	Rv0050	ponA1	cell wall and cell processes	cell wall and cell processes	0	9	9	0.0	54680.5	2037	False	False	0	False	NonReactive-Unq
NC_000962.3	55695	57378	+	CDS	Rv0051	Rv0051	cell wall and cell processes	cell wall and cell processes	0	8	8	0.0	56536.5	1683	False	False	0	False	NonReactive-Unq
NC_000962.3	57409	57973	+	CDS	Rv0052	Rv0052	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	57691.0	564	False	False	0	False	NonReactive-Unq
NC_000962.3	58191	58482	+	CDS	Rv0053	rpsF	information pathways	information pathways	0	2	2	0.0	58336.5	291	False	False	0	False	NonReactive-Unq
NC_000962.3	58585	59080	+	CDS	Rv0054	ssb	information pathways	information pathways	0	2	2	0.0	58832.5	495	False	False	0	False	NonReactive-Unq
NC_000962.3	59121	59376	+	CDS	Rv0055	rpsR1	information pathways	information pathways	0	2	2	0.0	59248.5	255	False	False	0	False	NonReactive-Unq
NC_000962.3	59408	59867	+	CDS	Rv0056	rplI	information pathways	information pathways	0	2	2	0.0	59637.5	459	False	False	0	False	NonReactive-Unq
NC_000962.3	59895	60417	+	CDS	Rv0057	Rv0057	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	60156.0	522	False	False	0	False	NonReactive-Unq
NC_000962.3	60395	63020	+	CDS	Rv0058	dnaB	information pathways	information pathways	0	10	10	0.0	61707.5	2625	False	False	0	False	NonReactive-Unq
NC_000962.3	63199	63892	+	CDS	Rv0059	Rv0059	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	63545.5	693	False	False	0	False	NonReactive-Unq
NC_000962.3	63908	64967	+	CDS	Rv0060	Rv0060	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	64437.5	1059	False	False	0	False	NonReactive-Unq
NC_000962.3	65551	66694	+	CDS	Rv0062	celA1	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	66122.5	1143	False	False	0	False	NonReactive-Unq
NC_000962.3	66922	68362	+	CDS	Rv0063	Rv0063	intermediary metabolism and respiration	intermediary metabolism and respiration	0	6	6	0.0	67642.0	1440	False	False	0	False	NonReactive-Unq
NC_000962.3	68619	71559	+	CDS	Rv0064	Rv0064	cell wall and cell processes	cell wall and cell processes	0	10	10	0.0	70089.0	2940	False	False	0	False	NonReactive-Unq
NC_000962.3	71820	72222	+	CDS	Rv0065	vapC1	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	2	2	0.0	72021.0	402	False	False	0	False	NonReactive-Unq
NC_000962.3	72273	74511	-	CDS	Rv0066c	icd2	intermediary metabolism and respiration	intermediary metabolism and respiration	0	10	10	0.0	73392.0	2238	False	False	0	False	NonReactive-Unq
NC_000962.3	74628	75198	-	CDS	Rv0067c	Rv0067c	regulatory proteins	regulatory proteins	0	3	3	0.0	74913.0	570	False	False	0	False	NonReactive-Unq
NC_000962.3	75300	76212	+	CDS	Rv0068	Rv0068	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	75756.0	912	False	False	0	False	NonReactive-Unq
NC_000962.3	76236	77622	-	CDS	Rv0069c	sdaA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	76929.0	1386	False	False	0	False	NonReactive-Unq
NC_000962.3	77618	78896	-	CDS	Rv0070c	glyA2	intermediary metabolism and respiration	intermediary metabolism and respiration	0	6	6	0.0	78257.0	1278	False	False	0	False	NonReactive-Unq
NC_000962.3	79485	80193	+	CDS	Rv0071	Rv0071	information pathways	information pathways	0	4	4	0.0	79839.0	708	False	False	1	True	NonReactive-HHR
NC_000962.3	80623	81673	+	CDS	Rv0072	Rv0072	cell wall and cell processes	cell wall and cell processes	0	5	5	0.0	81148.0	1050	False	False	1	True	NonReactive-HHR
NC_000962.3	81675	82668	+	CDS	Rv0073	Rv0073	cell wall and cell processes	cell wall and cell processes	0	5	5	0.0	82171.5	993	False	False	1	True	NonReactive-HHR
NC_000962.3	82747	83983	+	CDS	Rv0074	Rv0074	conserved hypotheticals	conserved hypotheticals	0	6	6	0.0	83365.0	1236	False	False	0	False	NonReactive-Unq
NC_000962.3	83995	85168	+	CDS	Rv0075	Rv0075	intermediary metabolism and respiration	intermediary metabolism and respiration	0	6	6	0.0	84581.5	1173	False	False	0	False	NonReactive-Unq
NC_000962.3	85182	85572	-	CDS	Rv0076c	Rv0076c	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	85377.0	390	False	False	0	False	NonReactive-Unq
NC_000962.3	85635	86466	-	CDS	Rv0077c	Rv0077c	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	86050.5	831	False	False	0	False	NonReactive-Unq
NC_000962.3	86527	87133	+	CDS	Rv0078	Rv0078	regulatory proteins	regulatory proteins	0	3	3	0.0	86830.0	606	False	False	0	False	NonReactive-Unq
NC_000962.3	87207	87801	-	CDS	Rv0078A	Rv0078A	conserved hypotheticals	conserved hypotheticals	0	3	3	0.0	87504.0	594	False	False	0	False	NonReactive-Unq
NC_000962.3	88203	89025	+	CDS	Rv0079	Rv0079	conserved hypotheticals	conserved hypotheticals	0	4	4	0.0	88614.0	822	False	False	0	False	NonReactive-Unq
NC_000962.3	89021	89480	+	CDS	Rv0080	Rv0080	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	89250.5	459	False	False	0	False	NonReactive-Unq
NC_000962.3	89574	89919	+	CDS	Rv0081	Rv0081	regulatory proteins	regulatory proteins	0	2	2	0.0	89746.5	345	False	False	0	False	NonReactive-Unq
NC_000962.3	89923	90403	+	CDS	Rv0082	Rv0082	intermediary metabolism and respiration	intermediary metabolism and respiration	0	2	2	0.0	90163.0	480	False	False	0	False	NonReactive-Unq
NC_000962.3	90399	92322	+	CDS	Rv0083	Rv0083	intermediary metabolism and respiration	intermediary metabolism and respiration	0	8	8	0.0	91360.5	1923	False	False	0	False	NonReactive-Unq
NC_000962.3	92327	93278	+	CDS	Rv0084	hycD	intermediary metabolism and respiration	intermediary metabolism and respiration	0	6	6	0.0	92802.5	951	False	False	0	False	NonReactive-Unq
NC_000962.3	93288	93951	+	CDS	Rv0085	hycP	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	93619.5	663	False	False	0	False	NonReactive-Unq
NC_000962.3	93950	95417	+	CDS	Rv0086	hycQ	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	94683.5	1467	False	False	0	False	NonReactive-Unq
NC_000962.3	95413	96892	+	CDS	Rv0087	hycE	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	96152.5	1479	False	False	0	False	NonReactive-Unq
NC_000962.3	96926	97601	+	CDS	Rv0088	Rv0088	lipid metabolism	lipid metabolism	0	3	3	0.0	97263.5	675	False	False	0	False	NonReactive-Unq
NC_000962.3	97757	98351	+	CDS	Rv0089	Rv0089	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	98054.0	594	False	False	0	False	NonReactive-Unq
NC_000962.3	98479	99250	+	CDS	Rv0090	Rv0090	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	98864.5	771	False	False	0	False	NonReactive-Unq
NC_000962.3	99683	100451	+	CDS	Rv0091	mtn	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	100067.0	768	False	False	0	False	NonReactive-Unq
NC_000962.3	100582	102868	+	CDS	Rv0092	ctpA	cell wall and cell processes	cell wall and cell processes	0	10	10	0.0	101725.0	2286	False	False	0	False	NonReactive-Unq
NC_000962.3	102814	103663	-	CDS	Rv0093c	Rv0093c	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	103238.5	849	False	False	0	False	NonReactive-Unq
NC_000962.3	103709	104663	-	CDS	Rv0094c	Rv0094c	insertion seqs and phages	REP13E12_Repeat	0	5	5	0.0	104186.0	954	False	False	1	True	NonReactive-HHR
NC_000962.3	104804	105215	-	CDS	Rv0095c	Rv0095c	insertion seqs and phages	REP13E12_Repeat	0	2	2	0.0	105009.5	411	False	False	1	True	NonReactive-HHR
NC_000962.3	105323	106715	+	CDS	Rv0096	PPE1	PE/PPE	PE/PPE	0	7	7	0.0	106019.0	1392	False	False	0	False	NonReactive-Unq
NC_000962.3	106733	107603	+	CDS	Rv0097	Rv0097	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	107168.0	870	False	False	0	False	NonReactive-Unq
NC_000962.3	107599	108151	+	CDS	Rv0098	fcoT	lipid metabolism	lipid metabolism	0	3	3	0.0	107875.0	552	False	False	0	False	NonReactive-Unq
NC_000962.3	108155	109778	+	CDS	Rv0099	fadD10	lipid metabolism	lipid metabolism	0	8	8	0.0	108966.5	1623	False	False	0	False	NonReactive-Unq
NC_000962.3	109782	110019	+	CDS	Rv0100	Rv0100	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	109900.5	237	False	False	0	False	NonReactive-Unq
NC_000962.3	110000	117539	+	CDS	Rv0101	nrp	lipid metabolism	lipid metabolism	0	10	10	0.0	113769.5	7539	False	False	0	False	NonReactive-Unq
NC_000962.3	117713	119699	+	CDS	Rv0102	Rv0102	cell wall and cell processes	cell wall and cell processes	0	10	10	0.0	118706.0	1986	False	False	0	False	NonReactive-Unq
NC_000962.3	119914	122173	-	CDS	Rv0103c	ctpB	cell wall and cell processes	cell wall and cell processes	0	10	10	0.0	121043.5	2259	False	False	0	False	NonReactive-Unq
NC_000962.3	122316	123831	+	CDS	Rv0104	Rv0104	conserved hypotheticals	conserved hypotheticals	0	8	8	0.0	123073.5	1515	False	False	0	False	NonReactive-Unq
NC_000962.3	123979	124264	-	CDS	Rv0105c	rpmB1	information pathways	information pathways	0	2	2	0.0	124121.5	285	False	False	0	False	NonReactive-Unq
NC_000962.3	124373	125570	+	CDS	Rv0106	Rv0106	conserved hypotheticals	conserved hypotheticals	0	6	6	0.0	124971.5	1197	False	False	0	False	NonReactive-Unq
NC_000962.3	125642	130541	-	CDS	Rv0107c	ctpI	cell wall and cell processes	cell wall and cell processes	1	9	10	0.1	128091.5	4899	True	False	0	False	NonReactive-Unq
NC_000962.3	130894	131104	-	CDS	Rv0108c	Rv0108c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	130999.0	210	False	False	0	False	NonReactive-Unq
NC_000962.3	131381	132872	+	CDS	Rv0109	PE_PGRS1	PE/PPE	PE/PPE	0	6	6	0.0	132126.5	1491	False	False	0	False	NonReactive-Unq
NC_000962.3	133019	133769	+	CDS	Rv0110	Rv0110	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	133394.0	750	False	False	0	False	NonReactive-Unq
NC_000962.3	133949	136007	+	CDS	Rv0111	Rv0111	intermediary metabolism and respiration	intermediary metabolism and respiration	0	10	10	0.0	134978.0	2058	False	False	0	False	NonReactive-Unq
NC_000962.3	136288	137245	+	CDS	Rv0112	gca	cell wall and cell processes	cell wall and cell processes	0	5	5	0.0	136766.5	957	False	False	0	False	NonReactive-Unq
NC_000962.3	137318	137909	+	CDS	Rv0113	gmhA	cell wall and cell processes	cell wall and cell processes	0	3	3	0.0	137613.5	591	False	False	0	False	NonReactive-Unq
NC_000962.3	137940	138513	+	CDS	Rv0114	gmhB	cell wall and cell processes	cell wall and cell processes	0	2	2	0.0	138226.5	573	False	False	0	False	NonReactive-Unq
NC_000962.3	138512	139673	+	CDS	Rv0115	hddA	cell wall and cell processes	cell wall and cell processes	0	6	6	0.0	139092.5	1161	False	False	0	False	NonReactive-Unq
NC_000962.3	140266	141022	-	CDS	Rv0116c	ldtA	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	140644.0	756	False	False	0	False	NonReactive-Unq
NC_000962.3	141199	142144	+	CDS	Rv0117	oxyS	regulatory proteins	regulatory proteins	0	5	5	0.0	141671.5	945	False	False	0	False	NonReactive-Unq
NC_000962.3	142127	143876	-	CDS	Rv0118c	oxcA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	9	9	0.0	143001.5	1749	False	False	0	False	NonReactive-Unq
NC_000962.3	144048	145626	+	CDS	Rv0119	fadD7	lipid metabolism	lipid metabolism	0	8	8	0.0	144837.0	1578	False	False	0	False	NonReactive-Unq
NC_000962.3	145626	147771	-	CDS	Rv0120c	fusA2	information pathways	information pathways	0	10	10	0.0	146698.5	2145	False	False	0	False	NonReactive-Unq
NC_000962.3	147907	148342	-	CDS	Rv0121c	Rv0121c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	148124.5	435	False	False	0	False	NonReactive-Unq
NC_000962.3	148490	148859	+	CDS	Rv0122	Rv0122	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	148674.5	369	False	False	0	False	NonReactive-Unq
NC_000962.3	148855	149224	+	CDS	Rv0123	Rv0123	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	149039.5	369	False	False	0	False	NonReactive-Unq
NC_000962.3	149532	150996	+	CDS	Rv0124	PE_PGRS2	PE/PPE	PE/PPE	0	7	7	0.0	150264.0	1464	False	False	1	True	NonReactive-HHR
NC_000962.3	151147	152215	+	CDS	Rv0125	pepA	intermediary metabolism and respiration	intermediary metabolism and respiration	3	69	72	0.041666666666666664	151681.0	1068	True	True	0	False	Antigen-Unq
NC_000962.3	152323	154129	+	CDS	Rv0126	treS	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	9	9	0.0	153226.0	1806	False	False	0	False	NonReactive-Unq
NC_000962.3	154231	155599	+	CDS	Rv0127	mak	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	7	7	0.0	154915.0	1368	False	False	0	False	NonReactive-Unq
NC_000962.3	155666	156446	+	CDS	Rv0128	Rv0128	cell wall and cell processes	cell wall and cell processes	0	4	4	0.0	156056.0	780	False	False	0	False	NonReactive-Unq
NC_000962.3	156577	157600	-	CDS	Rv0129c	fbpC	lipid metabolism	lipid metabolism	1	8	9	0.1111111111111111	157088.5	1023	True	False	0	False	NonReactive-Unq
NC_000962.3	157846	158302	+	CDS	Rv0130	htdZ	intermediary metabolism and respiration	intermediary metabolism and respiration	0	2	2	0.0	158074.0	456	False	False	0	False	NonReactive-Unq
NC_000962.3	158314	159658	-	CDS	Rv0131c	fadE1	lipid metabolism	lipid metabolism	0	7	7	0.0	158986.0	1344	False	False	0	False	NonReactive-Unq
NC_000962.3	159699	160782	-	CDS	Rv0132c	fgd2	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	160240.5	1083	False	False	0	False	NonReactive-Unq
NC_000962.3	160868	161474	+	CDS	Rv0133	Rv0133	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	161171.0	606	False	False	0	False	NonReactive-Unq
NC_000962.3	161770	162673	+	CDS	Rv0134	ephF	virulence, detoxification, adaptation	virulence, detoxification, adaptation	0	4	4	0.0	162221.5	903	False	False	0	False	NonReactive-Unq
NC_000962.3	162643	163249	-	CDS	Rv0135c	Rv0135c	regulatory proteins	regulatory proteins	0	3	3	0.0	162946.0	606	False	False	0	False	NonReactive-Unq
NC_000962.3	163365	164691	+	CDS	Rv0136	cyp138	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	164028.0	1326	False	False	0	False	NonReactive-Unq
NC_000962.3	164711	165260	-	CDS	Rv0137c	msrA	intermediary metabolism and respiration	intermediary metabolism and respiration	0	3	3	0.0	164985.5	549	False	False	0	False	NonReactive-Unq
NC_000962.3	165322	165826	+	CDS	Rv0138	Rv0138	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	165574.0	504	False	False	0	False	NonReactive-Unq
NC_000962.3	165826	166849	+	CDS	Rv0139	Rv0139	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	166337.5	1023	False	False	0	False	NonReactive-Unq
NC_000962.3	166909	167290	+	CDS	Rv0140	Rv0140	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	167099.5	381	False	False	0	False	NonReactive-Unq
NC_000962.3	167270	167681	-	CDS	Rv0141c	Rv0141c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	167475.5	411	False	False	0	False	NonReactive-Unq
NC_000962.3	167710	168637	+	CDS	Rv0142	Rv0142	conserved hypotheticals	conserved hypotheticals	0	5	5	0.0	168173.5	927	False	False	0	False	NonReactive-Unq
NC_000962.3	168703	170182	-	CDS	Rv0143c	Rv0143c	cell wall and cell processes	cell wall and cell processes	0	7	7	0.0	169442.5	1479	False	False	0	False	NonReactive-Unq
NC_000962.3	170283	171126	+	CDS	Rv0144	Rv0144	regulatory proteins	regulatory proteins	1	3	4	0.25	170704.5	843	True	False	0	False	NonReactive-Unq
NC_000962.3	171214	172168	+	CDS	Rv0145	Rv0145	lipid metabolism	lipid metabolism	0	5	5	0.0	171691.0	954	False	False	0	False	NonReactive-Unq
NC_000962.3	172210	173143	+	CDS	Rv0146	Rv0146	lipid metabolism	lipid metabolism	0	3	3	0.0	172676.5	933	False	False	0	False	NonReactive-Unq
NC_000962.3	173237	174758	+	CDS	Rv0147	Rv0147	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	173997.5	1521	False	False	0	False	NonReactive-Unq
NC_000962.3	174832	175693	+	CDS	Rv0148	Rv0148	intermediary metabolism and respiration	intermediary metabolism and respiration	0	4	4	0.0	175262.5	861	False	False	0	False	NonReactive-Unq
NC_000962.3	175699	176668	+	CDS	Rv0149	Rv0149	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	176183.5	969	False	False	0	False	NonReactive-Unq
NC_000962.3	176664	176952	-	CDS	Rv0150c	Rv0150c	conserved hypotheticals	conserved hypotheticals	0	2	2	0.0	176808.0	288	False	False	0	False	NonReactive-Unq
NC_000962.3	177542	179309	-	CDS	Rv0151c	PE1	PE/PPE	PE/PPE	0	9	9	0.0	178425.5	1767	False	False	0	False	NonReactive-Unq
NC_000962.3	179318	180896	-	CDS	Rv0152c	PE2	PE/PPE	PE/PPE	0	8	8	0.0	180107.0	1578	False	False	0	False	NonReactive-Unq
NC_000962.3	181154	181985	-	CDS	Rv0153c	ptbB	regulatory proteins	regulatory proteins	0	4	4	0.0	181569.5	831	False	False	0	False	NonReactive-Unq
NC_000962.3	181986	183198	-	CDS	Rv0154c	fadE2	lipid metabolism	lipid metabolism	0	6	6	0.0	182592.0	1212	False	False	0	False	NonReactive-Unq
NC_000962.3	183621	184722	+	CDS	Rv0155	pntAa	intermediary metabolism and respiration	intermediary metabolism and respiration	0	5	5	0.0	184171.5	1101	False	False	0	False	NonReactive-Unq
NC_000962.3	184722	185055	+	CDS	Rv0156	pntAb	intermediary metabolism and respiration	intermediary metabolism and respiration	0	2	2	0.0	184888.5	333	False	False	0	False	NonReactive-Unq
NC_000962.3	185051	186479	+	CDS	Rv0157	pntB	intermediary metabolism and respiration	intermediary metabolism and respiration	0	7	7	0.0	185765.0	1428	False	False	0	False	NonReactive-Unq
NC_000962.3	186784	187429	+	CDS	Rv0158	Rv0158	regulatory proteins	regulatory proteins	0	3	3	0.0	187106.5	645	False	False	0	False	NonReactive-Unq
