HmRegion_Num	Chr	Start	End	Center	Length	Overlap_Genes	NOvrlap_Transposase	num_HmAln_All	num_HmAln_PR_BelowSeqID100	num_HmAln_PR_MinSeqID99	HmRegionNum	HmRegionID	NOvrlap_IS6110_Label	PR_SetID	NPossible_SNPs_Total	NPossible_ParalogSNPs	NObserved_SNPs_Total	NObserved_SNPs_MatchParalogSNP	p_value	log_p_value	neglog_p_value	NExpected_MatchParalogSNP	p_corr	neglog_p_corr	NucDivHotspot_Ovrlap	FoldEnrichment	LogFoldEnrichment	Log2FoldEnrichment	AbsEnrichment	SizeFactor	Fraction_SNPs_MatchParalog
58	NC_000962.3	1468141	1469654	1468897.5	1513	Rv1313c	1	1	1	1	58	PR_HmRegion_058	0	PR_Set_38	4539	5	31	5	1.0606178968319318e-11	-25.26958436310815	25.26958436310815	0.03414849085701696	1.6651700980261328e-09	20.213338557759844	0	146.4193548387097	2.1655984889085764	7.193962462551018	4.965851509142983	0.023255813953488372	0.16129032258064516
194	NC_000962.3	4252853	4254367	4253610.0	1514	fadE35,Rv3798	1	1	1	1	194	PR_HmRegion_194	0	PR_Set_38	4542	5	41	5	4.6624546093285976e-11	-23.78889397328021	23.78889397328021	0.045134302069572876	7.320053736645898e-09	18.732648167931902	1	110.78048780487805	2.0444632731639807	6.791559986088804	4.954865697930427	0.023255813953488372	0.12195121951219512
92	NC_000962.3	2165326	2165433	2165379.5	107	PPE34	0	0	0	0	92	PR_HmRegion_092	0	PR_Set_51	321	3	3	3	1.8310725690680573e-07	-15.513193752480902	15.513193752480902	0.02803738317757009	2.8747839334368502e-05	10.456947947132594	0	107.00000000000001	2.0293837776852097	6.741466986401147	2.97196261682243	0.013953488372093023	1.0
180	NC_000962.3	3883535	3884921	3884228.0	1386	Rv3466,Rv3467	0	2	2	1	180	PR_HmRegion_180	0	PR_Set_3	4158	35	282	193	0.0	500.0	500.0	2.3737373737373737	1e-40	500.0	1	81.3063829787234	1.9101246413335875	6.345296710782691	190.62626262626262	0.8976744186046511	0.6843971631205674
141	NC_000962.3	3132891	3133455	3133173.0	564	Rv2825c	0	1	1	1	141	PR_HmRegion_141	0	PR_Set_61	1692	8	17	6	1.0608426780386051e-11	-25.26937245135843	25.26937245135843	0.08037825059101655	1.66552300452061e-09	20.21312664601012	0	74.6470588235294	1.8730127007164308	6.222013512590767	5.919621749408983	0.027906976744186046	0.35294117647058826
33	NC_000962.3	842019	842331	842175.0	312	Rv0750	0	1	1	1	33	PR_HmRegion_033	0	PR_Set_22	936	11	32	27	0.0	500.0	500.0	0.37606837606837606	1e-40	500.0	0	71.79545454545455	1.8560969494189616	6.165820603109576	26.623931623931625	0.12558139534883722	0.84375
94	NC_000962.3	2195856	2197360	2196608.0	1504	Rv1944c,Rv1945	0	1	1	1	94	PR_HmRegion_094	0	PR_Set_34	4512	62	227	205	0.0	500.0	500.0	3.1192375886524824	1e-40	500.0	1	65.72118800625266	1.8177054053396635	6.038286654226449	201.88076241134752	0.9534883720930233	0.9030837004405287
2	NC_000962.3	103705	105130	104417.5	1425	Rv0094c,Rv0095c	0	2	2	2	2	PR_HmRegion_002	0	PR_Set_3	4275	35	417	215	0.0	500.0	500.0	3.4140350877192986	1e-40	500.0	3	62.97533401849948	1.7991704796557637	5.976714963860453	211.5859649122807	1.0	0.5155875299760192
50	NC_000962.3	1276292	1277797	1277044.5	1505	Rv1148c	0	1	1	1	50	PR_HmRegion_050	0	PR_Set_34	4515	62	188	155	0.0	500.0	500.0	2.5816168327796234	1e-40	500.0	1	60.03989361702128	1.7784399140578824	5.907849515577945	152.41838316722038	0.7209302325581395	0.824468085106383
168	NC_000962.3	3735635	3736314	3735974.5	679	PPE54	0	1	1	1	168	PR_HmRegion_168	0	PR_Set_67	2037	20	101	58	0.0	500.0	500.0	0.9916543937162494	1e-40	500.0	1	58.488118811881186	1.7670676531164777	5.870071682454303	57.008345606283754	0.26976744186046514	0.5742574257425742
41	NC_000962.3	1094827	1096692	1095759.5	1865	Rv0979c,rpmF,PE_PGRS18	0	2	2	2	41	PR_HmRegion_041	0	PR_Set_27	5595	74	122	91	0.0	500.0	500.0	1.6135835567470955	1e-40	500.0	2	56.39621178555605	1.751249932779738	5.817526352870616	89.3864164432529	0.4232558139534884	0.7459016393442623
18	NC_000962.3	473743	474099	473921.0	356	Rv0393	0	1	1	1	18	PR_HmRegion_018	0	PR_Set_15	1068	18	15	11	8.641859555633404e-19	-41.59249898088315	41.59249898088315	0.25280898876404495	1.3567719502344443e-16	36.53625317553484	0	43.51111111111111	1.6386001736917755	5.44331195327402	10.747191011235955	0.05116279069767442	0.7333333333333333
19	NC_000962.3	475809	476177	475993.0	368	Rv0397	0	1	1	1	19	PR_HmRegion_019	0	PR_Set_15	1104	18	20	12	3.4832398394688096e-19	-42.50115391784896	42.50115391784896	0.32608695652173914	5.468686547966031e-17	37.444908112500656	0	36.8	1.5658478186735176	5.20163386116965	11.673913043478262	0.05581395348837209	0.6
166	NC_000962.3	3730350	3731064	3730707.0	714	PPE54	0	2	2	2	166	PR_HmRegion_166	0	PR_Set_67	2142	29	63	30	0.0	500.0	500.0	0.8529411764705883	1e-40	500.0	1	35.172413793103445	1.5462021738629614	5.136372441731286	29.147058823529413	0.13953488372093023	0.47619047619047616
40	NC_000962.3	1093195	1094592	1093893.5	1397	PE_PGRS17	0	2	2	2	40	PR_HmRegion_040	0	PR_Set_27	4191	82	46	31	7.480531381874649e-45	-101.60402535490887	101.60402535490887	0.9000238606537818	1e-40	96.54777954956056	0	34.443531283138924	1.5371076706028264	5.106161155842398	30.099976139346218	0.14418604651162792	0.6739130434782609
113	NC_000962.3	2625885	2626683	2626284.0	798	esxO,esxP,Rv2348c	0	4	4	4	113	PR_HmRegion_113	0	PR_Set_28	2394	52	115	85	0.0	500.0	500.0	2.497911445279866	1e-40	500.0	1	34.02842809364549	1.5318418877962738	5.088668603995736	82.50208855472013	0.3953488372093023	0.7391304347826086
87	NC_000962.3	2030331	2030983	2030657.0	652	esxM,esxN	0	4	4	4	87	PR_HmRegion_087	0	PR_Set_28	1956	50	38	33	1.3081102134598578e-53	-121.76842641814551	121.76842641814551	0.9713701431492843	1e-40	116.7121806127972	0	33.972631578947365	1.5311291893766412	5.086301071092377	32.02862985685071	0.15348837209302327	0.868421052631579
127	NC_000962.3	2944267	2945226	2944746.5	959	PE_PGRS45	0	2	2	2	127	PR_HmRegion_127	0	PR_Set_27	2877	59	76	52	2.121725419302436e-84	-192.66491817680077	192.66491817680077	1.5585679527285365	1e-40	187.60867237145246	1	33.36396074933096	1.5232776016021896	5.060218661074953	50.44143204727146	0.24186046511627907	0.6842105263157895
179	NC_000962.3	3846460	3847892	3847176.0	1432	PPE59,Rv3430c	1	2	2	2	179	PR_HmRegion_179	0	PR_Set_48	4296	114	33	27	1.0400865819923711e-38	-87.45892957216188	87.45892957216188	0.8756983240223464	1.6329359337280225e-36	82.40268376681357	1	30.832535885167463	1.4890092456361264	4.946381646625686	26.124301675977655	0.12558139534883722	0.8181818181818182
54	NC_000962.3	1340494	1341292	1340893.0	798	PPE18,esxK,esxL	0	4	4	4	54	PR_HmRegion_054	0	PR_Set_28	2394	53	128	87	0.0	500.0	500.0	2.83375104427736	1e-40	500.0	2	30.701356132075475	1.487157559440353	4.940230478229031	84.16624895572264	0.4046511627906977	0.6796875
74	NC_000962.3	1788513	1789865	1789189.0	1352	Rv1587c,Rv1588c	0	2	2	1	74	PR_HmRegion_074	0	PR_Set_3	4056	35	146	37	0.0	500.0	500.0	1.259861932938856	1e-40	500.0	2	29.368297455968687	1.4678787702575617	4.876187726807307	35.740138067061146	0.17209302325581396	0.2534246575342466
125	NC_000962.3	2867124	2867777	2867450.5	653	lppA,lppB	0	1	1	1	125	PR_HmRegion_125	0	PR_Set_58	1959	56	45	37	2.5701805031054494e-56	-128.000789076553	128.000789076553	1.2863705972434916	1e-40	122.94454327120468	1	28.76309523809524	1.4588356192801872	4.846147029509258	35.71362940275651	0.17209302325581396	0.8222222222222222
42	NC_000962.3	1160538	1161167	1160852.5	629	esxI,esxJ	0	4	4	3	42	PR_HmRegion_042	0	PR_Set_28	1887	46	15	10	7.278187971839838e-14	-30.251309375655538	30.251309375655538	0.3656597774244833	1.1426755115788545e-11	25.19506357030723	0	27.347826086956523	1.436922809427676	4.773354250822276	9.634340222575517	0.046511627906976744	0.6666666666666666
60	NC_000962.3	1532461	1533653	1533057.0	1192	PPE19	0	2	2	2	60	PR_HmRegion_060	0	PR_Set_36	3576	130	92	79	3.5107438028234425e-112	-256.63370249067515	256.63370249067515	3.344519015659955	1e-40	251.57745668532684	1	23.62073578595318	1.3732934217619295	4.561982000274954	75.65548098434004	0.3674418604651163	0.8586956521739131
189	NC_000962.3	4059983	4060591	4060287.0	608	esxV,esxW	0	4	4	3	189	PR_HmRegion_189	0	PR_Set_28	1824	42	19	10	1.0721987405865537e-12	-27.56130967812456	27.56130967812456	0.4375	1.6833520227208893e-10	22.50506387277625	0	22.857142857142858	1.359021942641668	4.514573172829758	9.5625	0.046511627906976744	0.5263157894736842
53	NC_000962.3	1338923	1340433	1339678.0	1510	PE13,PPE18	0	2	2	2	53	PR_HmRegion_053	0	PR_Set_36	4530	196	97	85	5.731840206946935e-111	-253.84090869011763	253.84090869011763	4.196909492273731	1e-40	248.78466288476932	1	20.252998106459078	1.3064893221044036	4.340063584768963	80.80309050772627	0.3953488372093023	0.8762886597938144
182	NC_000962.3	3894016	3895588	3894802.0	1572	PE31,PPE60	0	2	2	2	182	PR_HmRegion_182	0	PR_Set_36	4716	210	175	153	1.0489923693015137e-212	-488.10020965961604	488.10020965961604	7.792620865139949	1e-40	483.04396385426776	1	19.63395918367347	1.2930078838204366	4.295279216173963	145.20737913486005	0.7116279069767442	0.8742857142857143
124	NC_000962.3	2866468	2867121	2866794.5	653	lppA	0	1	1	1	124	PR_HmRegion_124	0	PR_Set_58	1959	56	14	7	3.13468043083915e-08	-17.27815351099843	17.27815351099843	0.40020418580908623	4.9214482764174655e-06	12.221907705650121	1	17.49107142857143	1.2428164133245547	4.128546760209983	6.599795814190914	0.03255813953488372	0.5
177	NC_000962.3	3841532	3842904	3842218.0	1372	Rv3424c,PPE57	0	2	2	2	177	PR_HmRegion_177	0	PR_Set_48	4116	170	21	11	1.0677620030064125e-10	-22.96028605787257	22.96028605787257	0.8673469387755102	1.6763863447200676e-08	17.90404025252426	1	12.682352941176472	1.1031998351364272	3.664750526614804	10.13265306122449	0.05116279069767442	0.5238095238095238
97	NC_000962.3	2294816	2298269	2296542.5	3453	pks12	0	1	1	1	97	PR_HmRegion_097	0	PR_Set_46	10359	485	56	32	1.6067344694105159e-28	-63.99817876443842	63.99817876443842	2.621874698329955	2.52257311697451e-26	58.94193295909011	0	12.20500736377025	1.0865380457805585	3.6094012604424486	29.378125301670046	0.14883720930232558	0.5714285714285714
150	NC_000962.3	3251819	3253802	3252810.5	1983	ppsB	0	1	1	1	150	PR_HmRegion_150	0	PR_Set_64	5949	305	8	5	1.6903151216967358e-05	-10.988010490881171	10.988010490881171	0.41015296688519076	0.0026537947410638753	5.931764685532864	0	12.190573770491804	1.0860241469222545	3.607694125387118	4.589847033114809	0.023255813953488372	0.625
36	NC_000962.3	921579	921893	921736.0	314	Rv0828c,Rv0829	1	3	3	3	36	PR_HmRegion_036	0	PR_Set_20	942	46	12	7	2.7559176199527036e-07	-15.104345189417963	15.104345189417963	0.5859872611464969	4.3267906633257447e-05	10.048099384069655	0	11.945652173913041	1.0772098650779351	3.5784137148922177	6.414012738853503	0.03255813953488372	0.5833333333333334
64	NC_000962.3	1633310	1634790	1634050.0	1480	PE_PGRS27	0	2	2	2	64	PR_HmRegion_064	0	PR_Set_23	4440	184	255	125	5.0727510693901596e-123	-281.5940831506009	281.5940831506009	10.567567567567568	1e-40	276.5378373452526	1	11.828644501278772	1.0729349796791845	3.5642128529836845	114.43243243243244	0.5813953488372093	0.49019607843137253
65	NC_000962.3	1636705	1639561	1638133.0	2856	PE_PGRS28,Rv1453	0	3	3	3	65	PR_HmRegion_065	0	PR_Set_23	8568	424	249	131	2.1297378471704213e-109	-250.22577624064496	250.22577624064496	12.322128851540615	1e-40	245.16953043529665	2	10.631279836326438	1.0265855497910945	3.410243379656426	118.67787114845939	0.6093023255813953	0.5261044176706827
10	NC_000962.3	336565	339142	337853.5	2577	PE_PGRS4	0	2	2	2	10	PR_HmRegion_010	0	PR_Set_10	7731	629	95	69	3.966769079030974e-55	-125.2642281853036	125.2642281853036	7.729271763031949	1e-40	120.20798237995528	1	8.927102334532675	0.9507105132737058	3.158191964148708	61.270728236968054	0.3209302325581395	0.7263157894736842
9	NC_000962.3	332698	336379	334538.5	3681	vapC25,vapB25,PE_PGRS3	0	4	4	4	9	PR_HmRegion_009	0	PR_Set_10	11043	838	49	32	1.5610588860379126e-24	-54.81667786776011	54.81667786776011	3.7183736303540704	2.450862451079523e-22	49.76043206241181	0	8.605913009595247	0.9347969518274449	3.1053282572906578	28.28162636964593	0.14883720930232558	0.6530612244897959
193	NC_000962.3	4221088	4222560	4221824.0	1472	Rv3776	0	1	1	1	193	PR_HmRegion_193	0	PR_Set_54	4416	231	16	7	7.471035022861737e-06	-11.804477011145233	11.804477011145233	0.8369565217391305	0.0011729524985892928	6.748231205796925	0	8.363636363636363	0.9223951421873302	3.0641303374197157	6.163043478260869	0.03255813953488372	0.4375
147	NC_000962.3	3194137	3196202	3195169.5	2065	Rv2884,Rv2885c,Rv2886c	1	3	3	3	147	PR_HmRegion_147	0	PR_Set_20	6195	582	37	27	1.4935012859120954e-20	-45.650578640204955	45.650578640204955	3.4760290556900726	2.3447970188819897e-18	40.594332834856644	0	7.767483978824185	0.890280366154186	2.9574473606541987	23.523970944309927	0.12558139534883722	0.7297297297297297
99	NC_000962.3	2300912	2306889	2303900.5	5977	pks12	0	3	3	3	99	PR_HmRegion_099	0	PR_Set_46	17931	1221	76	30	4.267979448019018e-16	-35.39022096981218	35.39022096981218	5.175171490714406	6.700727733389858e-14	30.33397516446387	0	5.796909349540928	0.7631965090473326	2.535283925324291	24.824828509285595	0.13953488372093023	0.39473684210526316
184	NC_000962.3	3941407	3945597	3943502.0	4190	PE_PGRS55,PE_PGRS56,fadD18	0	1	1	1	184	PR_HmRegion_184	0	PR_Set_10	12570	614	96	23	1.3823816375933783e-10	-22.702043093939285	22.702043093939285	4.689260143198091	2.1703391710216038e-08	17.645797288590977	1	4.904824918566775	0.6906235095228146	2.294201639273547	18.31073985680191	0.10697674418604651	0.23958333333333334
98	NC_000962.3	2299196	2300826	2300011.0	1630	pks12	0	2	2	2	98	PR_HmRegion_098	0	PR_Set_46	4890	388	40	15	1.5165052431919463e-07	-15.701687145386376	15.701687145386376	3.173824130879346	2.3809132318113557e-05	10.645441340038069	0	4.726159793814433	0.6745084012571319	2.2406684083736246	11.826175869120654	0.06976744186046512	0.375
171	NC_000962.3	3743709	3753178	3748443.5	9469	PPE55	0	16	16	16	171	PR_HmRegion_171	0	PR_Set_24	28407	3288	167	90	1.326238381769791e-40	-91.82105706907002	91.82105706907002	19.3296018586968	2.082194259378572e-38	86.76481126372171	2	4.6560710695397525	0.668019600695394	2.2191130794854668	70.6703981413032	0.4186046511627907	0.5389221556886228
32	NC_000962.3	838485	841665	840075.0	3180	PE_PGRS10,vapB31,vapC31	0	8	8	8	32	PR_HmRegion_032	0	PR_Set_10	9540	1272	73	43	6.095098299529584e-20	-44.24421696916635	44.24421696916635	9.733333333333333	9.569304330261448e-18	39.18797116381805	0	4.417808219178083	0.6452068588508307	2.1433307914305995	33.266666666666666	0.2	0.589041095890411
185	NC_000962.3	3945777	3951329	3948553.0	5552	PE_PGRS57,fadD19	0	4	4	4	185	PR_HmRegion_185	0	PR_Set_10	16656	1276	70	21	3.18998499305571e-08	-17.260664531510375	17.260664531510375	5.362632084534101	5.008276439097465e-06	12.204418726162068	1	3.9159874608150473	0.5928412925009799	1.9693761453683416	15.637367915465898	0.09767441860465116	0.3
173	NC_000962.3	3755950	3767119	3761534.5	11169	PPE56	0	14	14	14	173	PR_HmRegion_173	0	PR_Set_24	33507	3226	98	36	4.170997386498606e-13	-28.5054510202888	28.5054510202888	9.435282179843018	6.548465896802811e-11	23.44920521494049	0	3.815466174070372	0.5815476076795668	1.9318593364652867	26.564717820156982	0.16744186046511628	0.3673469387755102
183	NC_000962.3	3930988	3936438	3933713.0	5450	PE_PGRS54	0	6	6	6	183	PR_HmRegion_183	0	PR_Set_10	16350	1336	204	56	2.0418429273892022e-16	-36.12750869204218	36.12750869204218	16.669357798165137	3.205693396001048e-14	31.07126288669387	2	3.359457555477281	0.5262691584370797	1.7482283028848635	39.33064220183486	0.26046511627906976	0.27450980392156865
