Phylogeny	H37Rv gene	Name	Amino acids	Subfamily	PGRS	bicistronic partner	Comments
44.0	Rv1214c	PE14	110.0	V			No PE, clear YxxxE. Phyre2 --> helix-turn-helix structure. Likely wrongly annotated start codon. PD in a logical poosition if one of the previous valines is used (-7 or -8)
45.0	Rv1243c	PE_PGRS23	562.0	V	PGRS		
46.0	Rv3367	PE_PGRS51	588.0	V	PGRS		
47.0	Rv1441c	PE_PGRS26	491.0	V	PGRS		
48.0	Rv0872c	PE_PGRS15	606.0	V	PGRS		
49.0	Rv2591	PE_PGRS44	543.0	V	PGRS		
50.0	Rv0742	PE_PGRS8	175.0	V	PGRS		
51.0	Rv1840c	PE_PGRS34	515.0	V	PGRS		
52.0	Rv1818c	PE_PGRS33	498.0	V	PGRS		
53.0	Rv3388	PE_PGRS52	731.0	V	PGRS		
54.0	Rv2162c	PE_PGRS38	532.0	V	PGRS		
55.0	Rv2741	PE_PGRS47	525.0	V	PGRS		
56.0	Rv1067c	PE_PGRS19	667.0	V	PGRS		
57.0	Rv0532	PE_PGRS6	594.0	V	PGRS		
58.0	Rv0124	PE_PGRS2	487.0	V	PGRS		
59.0	Rv1396c	PE_PGRS25	576.0	V	PGRS		
60.0	Rv1803c	PE_PGRS32	639.0	V	PGRS		
61.0	Rv0109	PE_PGRS1	496.0	V	PGRS		
62.0	Rv1430	PE16	528.0	V			PFAM08237  Sultana et al. 2013 Esterase 
63.0	Rv2328	PE23	382.0	V			No PGRS. C-terminus: structural homology with a Rye grass ice-binding protein :  3ULT
64.0	Rv1651c	PE_PGRS30	1011.0	V	PGRS		
65.0	Rv1646	PE17	310.0	V			PD instead of PE, but has YxxxE
66.0	Rv3812	PE_PGRS62	504.0	V	PGRS		
67.0	Rv0151c	PE1	588.0	V			PFAM08237 Is this a PE? Wrong startsite? PS at 45 could be close to PE (according to blast PE makes sense), but no appropriate YxxxE present within the 100 aminacids after that, structure needs to be verified. Structure of that domain very strongly indicates PE fold (100% PE8), but no YxxxE
68.0	Rv1768	PE_PGRS31	618.0	V	PGRS		
69.0	Rv3345+4c	PE_PGRS50-49		V	PGRS		
69.0	Rv3345+4c	PE_PGRS50-49		V	PGRS		
70.0	Rv2396	PE_PGRS41	361.0	V	PGRS		
71.0	Rv1088	PE9		V			MGMmodified - Part of Rv1088+89, PE9+PE10 pairing. Neither of these seems to be a PE. --> Phyre suggests PE fold
71.0	Rv1089	PE10		V			MGMmodified - Part of Rv1088+89, PE9+PE10 pairing. Neither of these seems to be a PE. --> Phyre suggests PE fold
72.0	Rv1325c	PE_PGRS24	603.0	V	PGRS		
73.0	Rv1091	PE_PGRS22	853.0	V	PGRS		
74.0	Rv1087	PE_PGRS21	767.0	V	PGRS		
75.0	Rv0747	PE_PGRS10	801.0	V	PGRS		
76.0	Rv3652	PE_PGRS60		V	PGRS		MGMmodified - Part of Rv3652+3, PE_PGRS60+1 pairing
76.0	Rv3653	PE_PGRS61		V	PGRS		MGMmodified - Part of Rv3652+3, PE_PGRS60+1 pairing
77.0	Rv1759c	Wag22	914.0	V	PGRS		
78.0	Rv0278c	PE_PGRS3	957.0	V	PGRS		
79.0	Rv0279c	PE_PGRS4	837.0	V	PGRS		
80.0	Rv0834c	PE_PGRS14	882.0	V	PGRS		
81.0	Rv0746	PE_PGRS9	783.0	V	PGRS		
82.0	Rv3650	PE33	94.0	V			
83.0	Rv0297	PE_PGRS5	591.0	V	PGRS		
84.0	Rv3507	PE_PGRS53	1381.0	V	PGRS		
85.0	Rv3097c	LipY	437.0	V			
86.0	Rv0832	PE_PGRS12		V	PGRS		MGMmodified - Part of Rv0832+3, PE_PGRS12+13 pairing
86.0	Rv0833	PE_PGRS13		V	PGRS		MGMmodified - Part of Rv0832+3, PE_PGRS12+13 pairing
87.0	Rv0335c	PE6	171.0	V			
88.0	Rv2853	PE_PGRS48	615.0	V	PGRS		
89.0	Rv2487c	PE_PGRS42	694.0	V	PGRS		
90.0	Rv2490c	PE_PGRS43	1660.0	V	PGRS		
