PR_SetID	putative	mapped	num_regions	num_genes	genes	genes_csv	region_gene_map	num_region_gene_map_entries	Gene_Categories	Num_Gene_Categories
PR_Set_61	8.0	7.0	2	3	['Rv2825c', 'Rv2828A', 'Rv2828c']	Rv2825c, Rv2828A, Rv2828c	{'PR_HmRegion_141': 'Rv2825c', 'PR_HmRegion_142': 'Rv2828c,Rv2828A'}	2	['conserved hypotheticals']	1
PR_Set_46	7.0	6.0	5	3	['pks12', 'pks7', 'pks8']	pks12, pks7, pks8	{'PR_HmRegion_076': 'pks7', 'PR_HmRegion_078': 'pks8', 'PR_HmRegion_097': 'pks12', 'PR_HmRegion_098': 'pks12', 'PR_HmRegion_099': 'pks12'}	5	['lipid metabolism']	1
PR_Set_48	6.0	4.0	4	6	['PPE57', 'PPE58', 'PPE59', 'Rv3424c', 'Rv3430c', '_']	PPE57, PPE58, PPE59, Rv3424c, Rv3430c, _	{'PR_HmRegion_081': '_', 'PR_HmRegion_177': 'Rv3424c,PPE57', 'PR_HmRegion_178': 'PPE58', 'PR_HmRegion_179': 'PPE59,Rv3430c'}	4	['PE/PPE', 'conserved hypotheticals', 'insertion seqs and phages', 'unknown']	4
PR_Set_49	6.0	5.0	2	2	['PPE25', 'PPE27']	PPE25, PPE27	{'PR_HmRegion_085': 'PPE25', 'PR_HmRegion_086': 'PPE27'}	2	['PE/PPE']	1
PR_Set_58	5.0	0.0	2	2	['lppA', 'lppB']	lppA, lppB	{'PR_HmRegion_124': 'lppA', 'PR_HmRegion_125': 'lppA,lppB'}	2	['cell wall and cell processes']	1
PR_Set_15	4.0	4.0	2	2	['Rv0393', 'Rv0397']	Rv0393, Rv0397	{'PR_HmRegion_018': 'Rv0393', 'PR_HmRegion_019': 'Rv0397'}	2	['REP13E12_Repeat']	1
PR_Set_20	3.0	3.0	6	16	['Rv0605', 'Rv0606', 'Rv0828c', 'Rv0829', 'Rv2791c', 'Rv2792c', 'Rv2884', 'Rv2885c', 'Rv2886c', 'Rv2978c', 'Rv2979c', 'Rv3827c', 'Rv3828c', 'Rv3829c', 'fadD23', 'thiL']	Rv0605, Rv0606, Rv0828c, Rv0829, Rv2791c, Rv2792c, Rv2884, Rv2885c, Rv2886c, Rv2978c, Rv2979c, Rv3827c, Rv3828c, Rv3829c, fadD23, thiL	{'PR_HmRegion_028': 'Rv0605,Rv0606', 'PR_HmRegion_036': 'Rv0828c,Rv0829', 'PR_HmRegion_137': 'Rv2791c,Rv2792c', 'PR_HmRegion_147': 'Rv2884,Rv2885c,Rv2886c', 'PR_HmRegion_154': 'thiL,Rv2978c,Rv2979c', 'PR_HmRegion_196': 'fadD23,Rv3827c,Rv3828c,Rv3829c'}	6	['insertion seqs and phages', 'intermediary metabolism and respiration', 'lipid metabolism', 'regulatory proteins']	4
PR_Set_55	3.0	3.0	2	4	['Rv2177c', 'Rv2423', 'Rv2424c', 'pknL']	Rv2177c, Rv2423, Rv2424c, pknL	{'PR_HmRegion_107': 'pknL,Rv2177c', 'PR_HmRegion_119': 'Rv2423,Rv2424c'}	2	['conserved hypotheticals', 'insertion seqs and phages', 'regulatory proteins']	3
PR_Set_22	3.0	3.0	2	2	['Rv0740', 'Rv0750']	Rv0740, Rv0750	{'PR_HmRegion_030': 'Rv0740', 'PR_HmRegion_033': 'Rv0750'}	2	['conserved hypotheticals']	1
PR_Set_64	3.0	2.0	2	2	['ppsA', 'ppsB']	ppsA, ppsB	{'PR_HmRegion_149': 'ppsA', 'PR_HmRegion_150': 'ppsB'}	2	['lipid metabolism']	1
PR_Set_65	2.0	0.0	2	5	['PE27A', 'PE29', 'PPE46', 'PPE47', 'PPE48']	PE27A, PE29, PPE46, PPE47, PPE48	{'PR_HmRegion_155': 'PPE46,PE27A', 'PR_HmRegion_156': 'PPE47,PPE48,PE29'}	2	['PE/PPE']	1
PR_Set_32	1.0	0.0	2	2	['PE_PGRS21', 'PE_PGRS22']	PE_PGRS21, PE_PGRS22	{'PR_HmRegion_047': 'PE_PGRS21', 'PR_HmRegion_048': 'PE_PGRS22'}	2	['PE/PPE']	1
PR_Set_38	1.0	1.0	2	3	['Rv1313c', 'Rv3798', 'fadE35']	Rv1313c, Rv3798, fadE35	{'PR_HmRegion_058': 'Rv1313c', 'PR_HmRegion_194': 'fadE35,Rv3798'}	2	['insertion seqs and phages', 'lipid metabolism']	2
PR_Set_54	1.0	1.0	2	2	['Rv2100', 'Rv3776']	Rv2100, Rv3776	{'PR_HmRegion_104': 'Rv2100', 'PR_HmRegion_193': 'Rv3776'}	2	['REP13E12_Repeat', 'conserved hypotheticals']	2
PR_Set_18	0.0	0.0	2	2	['regX3', 'senX3']	regX3, senX3	{'PR_HmRegion_023': 'senX3', 'PR_HmRegion_024': 'regX3'}	2	['regulatory proteins']	1
PR_Set_66	0.0	0.0	2	1	['_']	_	{'PR_HmRegion_163': '_', 'PR_HmRegion_164': '_'}	2	['unknown']	1
PR_Set_17	0.0	0.0	2	2	['Rv0487', '_']	Rv0487, _	{'PR_HmRegion_021': 'Rv0487', 'PR_HmRegion_022': '_'}	2	['conserved hypotheticals', 'unknown']	2
PR_Set_6	0.0	0.0	2	15	['Rv0590A', 'lprK', 'lprL', 'mce1A', 'mce1B', 'mce1C', 'mce1D', 'mce2A', 'mce2B', 'mce2C', 'mce2D', 'yrbE1A', 'yrbE1B', 'yrbE2A', 'yrbE2B']	Rv0590A, lprK, lprL, mce1A, mce1B, mce1C, mce1D, mce2A, mce2B, mce2C, mce2D, yrbE1A, yrbE1B, yrbE2A, yrbE2B	{'PR_HmRegion_005': 'yrbE1A,yrbE1B,mce1A,mce1B,mce1C,mce1D,lprK', 'PR_HmRegion_027': 'yrbE2A,yrbE2B,mce2A,mce2B,Rv0590A,mce2C,mce2D,lprL'}	2	['cell wall and cell processes', 'virulence, detoxification, adaptation']	2
PR_Set_25	0.0	0.0	2	4	['cysA2', 'cysA3', 'sseC1', 'sseC2']	cysA2, cysA3, sseC1, sseC2	{'PR_HmRegion_035': 'sseC2,cysA2', 'PR_HmRegion_159': 'cysA3,sseC1'}	2	['intermediary metabolism and respiration']	1
PR_Set_2	0.0	0.0	2	4	['Rv0072', 'Rv0073', 'Rv2563', 'glnQ']	Rv0072, Rv0073, Rv2563, glnQ	{'PR_HmRegion_001': 'Rv0072,Rv0073', 'PR_HmRegion_126': 'Rv2563,glnQ'}	2	['cell wall and cell processes']	1
PR_Set_59	0.0	0.0	2	2	['arsA', 'arsB1']	arsA, arsB1	{'PR_HmRegion_133': 'arsA', 'PR_HmRegion_134': 'arsB1'}	2	['cell wall and cell processes']	1
PR_Set_29	0.0	0.0	2	4	['Rv1041c', 'Rv1042c', 'Rv1149', 'Rv1150']	Rv1041c, Rv1042c, Rv1149, Rv1150	{'PR_HmRegion_043': 'Rv1041c,Rv1042c', 'PR_HmRegion_051': 'Rv1149,Rv1150'}	2	['insertion seqs and phages']	1
PR_Set_26	0.0	0.0	5	4	['Rv2680', 'Rv2689c', '_', 'che1']	Rv2680, Rv2689c, _, che1	{'PR_HmRegion_038': '_', 'PR_HmRegion_118': 'che1', 'PR_HmRegion_132': 'Rv2680', 'PR_HmRegion_135': 'Rv2689c', 'PR_HmRegion_146': '_'}	5	['conserved hypotheticals', 'intermediary metabolism and respiration', 'unknown']	3
PR_Set_31	0.0	0.0	2	2	['PE_PGRS19', 'PE_PGRS20']	PE_PGRS19, PE_PGRS20	{'PR_HmRegion_045': 'PE_PGRS19', 'PR_HmRegion_046': 'PE_PGRS20'}	2	['PE/PPE']	1
PR_Set_19	0.0	0.0	3	3	['_', 'fadD8', 'pca']	_, fadD8, pca	{'PR_HmRegion_026': 'fadD8', 'PR_HmRegion_089': '_', 'PR_HmRegion_153': 'pca'}	3	['intermediary metabolism and respiration', 'lipid metabolism', 'unknown']	3
PR_Set_1	0.0	0.0	2	2	['Rv0071', 'Rv2774c']	Rv0071, Rv2774c	{'PR_HmRegion_000': 'Rv0071', 'PR_HmRegion_136': 'Rv2774c'}	2	['conserved hypotheticals', 'information pathways']	2
PR_Set_14	0.0	0.0	2	1	['PPE8']	PPE8	{'PR_HmRegion_016': 'PPE8', 'PR_HmRegion_017': 'PPE8'}	2	['PE/PPE']	1
PR_Set_21	0.0	0.0	2	2	['Rv0628c', 'Rv0874c']	Rv0628c, Rv0874c	{'PR_HmRegion_029': 'Rv0628c', 'PR_HmRegion_039': 'Rv0874c'}	2	['conserved hypotheticals']	1
PR_Set_9	0.0	0.0	5	4	['Rv0257', 'Rv3612c', 'Rv3613c', '_']	Rv0257, Rv3612c, Rv3613c, _	{'PR_HmRegion_008': 'Rv0257', 'PR_HmRegion_068': '_', 'PR_HmRegion_075': '_', 'PR_HmRegion_115': '_', 'PR_HmRegion_188': 'Rv3612c,Rv3613c'}	5	['conserved hypotheticals', 'unknown']	2
PR_Set_39	0.0	0.0	2	3	['PE_PGRS27', 'PE_PGRS49', 'PE_PGRS50']	PE_PGRS27, PE_PGRS49, PE_PGRS50	{'PR_HmRegion_063': 'PE_PGRS27', 'PR_HmRegion_169': 'PE_PGRS49,PE_PGRS50'}	2	['PE/PPE']	1
PR_Set_37	0.0	0.0	2	3	['Rv2090', 'thrB', 'thrC']	Rv2090, thrB, thrC	{'PR_HmRegion_057': 'thrC,thrB', 'PR_HmRegion_103': 'Rv2090'}	2	['information pathways', 'intermediary metabolism and respiration']	2
PR_Set_35	0.0	0.0	2	2	['narG', 'narX']	narG, narX	{'PR_HmRegion_052': 'narG', 'PR_HmRegion_082': 'narX'}	2	['intermediary metabolism and respiration']	1
PR_Set_33	0.0	0.0	2	2	['Rv1948c', '_']	Rv1948c, _	{'PR_HmRegion_049': '_', 'PR_HmRegion_095': 'Rv1948c'}	2	['conserved hypotheticals', 'unknown']	2
PR_Set_30	0.0	0.0	6	7	['Rv1047', 'Rv1199c', 'Rv2512c', 'Rv2665', 'Rv2666', 'Rv3023c', 'Rv3115']	Rv1047, Rv1199c, Rv2512c, Rv2665, Rv2666, Rv3023c, Rv3115	{'PR_HmRegion_044': 'Rv1047', 'PR_HmRegion_055': 'Rv1199c', 'PR_HmRegion_123': 'Rv2512c', 'PR_HmRegion_131': 'Rv2665,Rv2666', 'PR_HmRegion_157': 'Rv3023c', 'PR_HmRegion_158': 'Rv3115'}	6	['conserved hypotheticals', 'insertion seqs and phages']	2
PR_Set_4	0.0	0.0	2	2	['PE14', 'PE_PGRS2']	PE14, PE_PGRS2	{'PR_HmRegion_003': 'PE_PGRS2', 'PR_HmRegion_056': 'PE14'}	2	['PE/PPE']	1
PR_Set_41	0.0	0.0	2	2	['Rv1510', 'Rv3630']	Rv1510, Rv3630	{'PR_HmRegion_067': 'Rv1510', 'PR_HmRegion_190': 'Rv3630'}	2	['cell wall and cell processes']	1
PR_Set_40	0.0	0.0	3	3	['Rv1459c', 'Rv2258c', '_']	Rv1459c, Rv2258c, _	{'PR_HmRegion_066': 'Rv1459c', 'PR_HmRegion_110': 'Rv2258c', 'PR_HmRegion_111': '_'}	3	['cell wall and cell processes', 'regulatory proteins', 'unknown']	3
PR_Set_5	0.0	0.0	4	2	['Rv3639c', '_']	Rv3639c, _	{'PR_HmRegion_004': '_', 'PR_HmRegion_152': '_', 'PR_HmRegion_191': 'Rv3639c', 'PR_HmRegion_198': '_'}	4	['conserved hypotheticals', 'unknown']	2
PR_Set_50	0.0	0.0	2	2	['Rv1829', '_']	Rv1829, _	{'PR_HmRegion_090': 'Rv1829', 'PR_HmRegion_091': '_'}	2	['conserved hypotheticals', 'unknown']	2
PR_Set_51	0.0	0.0	2	1	['PPE34']	PPE34	{'PR_HmRegion_092': 'PPE34', 'PR_HmRegion_093': 'PPE34'}	2	['PE/PPE']	1
PR_Set_42	0.0	0.0	3	3	['mas', 'pks2', 'pks5']	mas, pks2, pks5	{'PR_HmRegion_069': 'pks5', 'PR_HmRegion_151': 'mas', 'PR_HmRegion_195': 'pks2'}	3	['lipid metabolism']	1
PR_Set_43	0.0	0.0	2	2	['Rv1805c', '_']	Rv1805c, _	{'PR_HmRegion_070': '_', 'PR_HmRegion_088': 'Rv1805c'}	2	['conserved hypotheticals', 'unknown']	2
PR_Set_44	0.0	0.0	3	3	['Rv1574', 'Rv1575', 'Rv2647']	Rv1574, Rv1575, Rv2647	{'PR_HmRegion_071': 'Rv1574', 'PR_HmRegion_072': 'Rv1575', 'PR_HmRegion_128': 'Rv2647'}	3	['insertion seqs and phages']	1
PR_Set_45	0.0	0.0	2	7	['Rv1575', 'Rv1576c', 'Rv1577c', 'Rv1578c', 'Rv2650c', 'Rv2651c', 'Rv2652c']	Rv1575, Rv1576c, Rv1577c, Rv1578c, Rv2650c, Rv2651c, Rv2652c	{'PR_HmRegion_073': 'Rv1575,Rv1576c,Rv1577c,Rv1578c', 'PR_HmRegion_130': 'Rv2650c,Rv2651c,Rv2652c'}	2	['insertion seqs and phages']	1
PR_Set_47	0.0	0.0	2	1	['_']	_	{'PR_HmRegion_079': '_', 'PR_HmRegion_080': '_'}	2	['unknown']	1
PR_Set_70	0.0	0.0	2	2	['Rv3611', 'Rv3612c']	Rv3611, Rv3612c	{'PR_HmRegion_186': 'Rv3611', 'PR_HmRegion_187': 'Rv3611,Rv3612c'}	2	['conserved hypotheticals']	1
PR_Set_7	0.0	0.0	2	2	['Rv3693', '_']	Rv3693, _	{'PR_HmRegion_006': '_', 'PR_HmRegion_192': 'Rv3693'}	2	['cell wall and cell processes', 'unknown']	2
PR_Set_69	0.0	0.0	2	4	['Rv3348', 'Rv3349c', 'Rv3844', 'Rv3845']	Rv3348, Rv3349c, Rv3844, Rv3845	{'PR_HmRegion_172': 'Rv3348,Rv3349c', 'PR_HmRegion_197': 'Rv3844,Rv3845'}	2	['conserved hypotheticals', 'insertion seqs and phages']	2
PR_Set_68	0.0	0.0	2	3	['Rv3346c', 'Rv3355c', 'folD']	Rv3346c, Rv3355c, folD	{'PR_HmRegion_170': 'Rv3346c', 'PR_HmRegion_174': 'Rv3355c,folD'}	2	['cell wall and cell processes', 'intermediary metabolism and respiration']	2
PR_Set_52	0.0	0.0	2	2	['Rv2081c', 'Rv2082']	Rv2081c, Rv2082	{'PR_HmRegion_100': 'Rv2081c', 'PR_HmRegion_101': 'Rv2082'}	2	['cell wall and cell processes', 'conserved hypotheticals']	2
PR_Set_11	0.0	0.0	2	2	['PE_PGRS25', 'PE_PGRS5']	PE_PGRS25, PE_PGRS5	{'PR_HmRegion_012': 'PE_PGRS5', 'PR_HmRegion_062': 'PE_PGRS25'}	2	['PE/PPE']	1
PR_Set_53	0.0	0.0	2	3	['Rv2083', 'Rv3897c', 'Rv3898c']	Rv2083, Rv3897c, Rv3898c	{'PR_HmRegion_102': 'Rv2083', 'PR_HmRegion_199': 'Rv3897c,Rv3898c'}	2	['conserved hypotheticals']	1
PR_Set_8	0.0	0.0	2	2	['PPE2', 'PPE3']	PPE2, PPE3	{'PR_HmRegion_007': 'PPE2', 'PR_HmRegion_011': 'PPE3'}	2	['PE/PPE']	1
PR_Set_57	0.0	0.0	2	3	['PE_PGRS42', 'PE_PGRS43', 'Rv2488c']	PE_PGRS42, PE_PGRS43, Rv2488c	{'PR_HmRegion_121': 'PE_PGRS42,Rv2488c', 'PR_HmRegion_122': 'PE_PGRS43'}	2	['PE/PPE', 'regulatory proteins']	2
PR_Set_56	0.0	0.0	2	2	['Rv2197c', 'qcrB']	Rv2197c, qcrB	{'PR_HmRegion_108': 'qcrB', 'PR_HmRegion_109': 'Rv2197c'}	2	['cell wall and cell processes', 'intermediary metabolism and respiration']	2
PR_Set_60	0.0	0.0	2	3	['Rv2804c', 'Rv2805', 'Rv2807']	Rv2804c, Rv2805, Rv2807	{'PR_HmRegion_138': 'Rv2804c,Rv2805', 'PR_HmRegion_139': 'Rv2807'}	2	['conserved hypotheticals']	1
PR_Set_16	0.0	0.0	2	2	['Rv0471c', 'pks7']	Rv0471c, pks7	{'PR_HmRegion_020': 'Rv0471c', 'PR_HmRegion_077': 'pks7'}	2	['conserved hypotheticals', 'lipid metabolism']	2
PR_Set_13	0.0	0.0	2	3	['Rv0336', 'Rv0515', 'Rv0516c']	Rv0336, Rv0515, Rv0516c	{'PR_HmRegion_015': 'Rv0336', 'PR_HmRegion_025': 'Rv0515,Rv0516c'}	2	['information pathways', 'insertion seqs and phages']	2
PR_Set_62	0.0	0.0	2	1	['_']	_	{'PR_HmRegion_143': '_', 'PR_HmRegion_144': '_'}	2	['unknown']	1
PR_Set_63	0.0	0.0	2	3	['Rv2859c', 'fpg', 'glnA4']	Rv2859c, fpg, glnA4	{'PR_HmRegion_145': 'Rv2859c,glnA4', 'PR_HmRegion_148': 'fpg'}	2	['information pathways', 'intermediary metabolism and respiration']	2
PR_Set_12	0.0	0.0	2	2	['PPE5', 'PPE6']	PPE5, PPE6	{'PR_HmRegion_013': 'PPE5', 'PR_HmRegion_014': 'PPE6'}	2	['PE/PPE']	1
