SampleID	Cohort	chrom	chromStart	chromEnd	name	score	zscore	af	Lifted	H37Rv_chrom	H37Rv_start	H37Rv_end	ClampFlags	overlaps_hotspot	overlaps_pr
QC-7	Mtb151	QC-7	171681	171753	het_or_mismap	21	7.402424	0.3809524	False						
QC-7	Mtb151	QC-7	171753	171760	simple_repeat	21	5.361524	1.5238096	False						
QC-7	Mtb151	QC-7	171760	171768	het_or_mismap	21	5.0729895	0.29523808	False						
QC-7	Mtb151	QC-7	171768	171787	deletion	21	5.361524	1.5238096	False						
QC-7	Mtb151	QC-7	171787	171788	het_or_mismap	21	3.9859204	0.25523812	False						
QC-7	Mtb151	QC-7	171788	171797	deletion	21	5.361524	1.5238096	False						
QC-7	Mtb151	QC-7	171797	171855	het_or_mismap	21	6.7294755	0.35619047	False						
QC-7	Mtb151	QC-7	171855	171898	deletion	28	5.361524	1.3913044	True	NC_000962.3	171742.0	171778.0	start_clamped	False	False
QC-7	Mtb151	QC-7	338370	338441	deletion	43	4.4967623	0.64285713	True	NC_000962.3	335378.0	335453.0		False	True
QC-7	Mtb151	QC-7	456367	458971	deletion	33	4.842667	1.074074	True	NC_000962.3	453366.0	455972.0		False	False
QC-7	Mtb151	QC-7	842588	842857	deletion	47	5.5344763	0.73333335	True	NC_000962.3	839083.0	839355.0		False	True
QC-7	Mtb151	QC-7	843463	843519	deletion	46	5.0156193	0.6666667	True	NC_000962.3	839962.0	840018.0		False	True
QC-7	Mtb151	QC-7	1192703	1192750	deletion	17	5.0156193	1.875	True	NC_000962.3	1189171.0	1189264.0		False	True
QC-7	Mtb151	QC-7	1203285	1203599	deletion	20	9.685334	28.5	True	NC_000962.3	1199746.0	1199841.0		False	False
QC-7	Mtb151	QC-7	1485226	1486423	deletion	24	4.6697145	1.4	True	NC_000962.3	1480948.0	1481286.0		False	False
QC-7	Mtb151	QC-7	1524959	1524960	softclip	53	328.0314	0.5283019	True	NC_000962.3	1524574.0	1524575.0		False	False
QC-7	Mtb151	QC-7	1527042	1529688	deletion	25	3.4590478	1.0526316	True	NC_000962.3	1526657.0	1529303.0		False	False
QC-7	Mtb151	QC-7	1611614	1611631	deletion	48	4.6697145	0.59574467	True	NC_000962.3	1612588.0	1612605.0		False	False
QC-7	Mtb151	QC-7	1977952	1978473	deletion	29	2.5942857	0.5714286	True	NC_000962.3	1986624.0	1987145.0		False	False
QC-7	Mtb151	QC-7	2399958	2400101	other_repeat	32	4.1508574	0.8333333	True	NC_000962.3	2401825.0	2401886.0		False	False
QC-7	Mtb151	QC-7	2457890	2457928	deletion	38	4.4967623	0.7714286	True	NC_000962.3	2461362.0	2461461.0		False	True
QC-7	Mtb151	QC-7	2541611	2541612	softclip	42	303.7328	0.61904764	True	NC_000962.3	2551675.0	2551676.0		False	False
QC-7	Mtb151	QC-7	2706654	2706708	deletion	43	3.8049526	0.54761904	True	NC_000962.3	2715888.0	2715942.0		False	False
QC-7	Mtb151	QC-7	3109828	3109858	deletion	25	2.0754287	0.52	True	NC_000962.3	3120182.0	3120212.0		False	True
QC-7	Mtb151	QC-7	3111528	3111771	deletion	29	2.7672381	0.60714287	True	NC_000962.3	3121881.0	3122085.0		False	True
QC-7	Mtb151	QC-7	3224003	3224017	deletion	47	4.1508574	0.5319149	True	NC_000962.3	3232759.0	3232763.0		False	False
QC-7	Mtb151	QC-7	3469372	3469381	deletion	25	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469381	3469439	het_or_mismap	20	12.423648	0.594	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469439	3469442	homopolymer	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469442	3469445	het_or_mismap	20	4.037686	0.27	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469445	3469446	homopolymer	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469446	3469474	het_or_mismap	20	5.2800503	0.31800002	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469474	3469490	deletion	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469490	3469679	het_or_mismap	20	9.058909	0.464	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469679	3469688	deletion	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469688	3469714	het_or_mismap	20	5.38358	0.322	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469714	3469735	deletion	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469735	3469736	het_or_mismap	20	3.6235638	0.254	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469736	3469737	deletion	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469737	3469758	het_or_mismap	20	6.2635894	0.356	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469758	3469759	homopolymer	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469759	3469760	het_or_mismap	20	3.8823903	0.264	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469760	3469762	homopolymer	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469762	3469763	het_or_mismap	20	3.675329	0.25599998	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469763	3469780	deletion	20	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469780	3469784	het_or_mismap	20	3.7270942	0.258	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3469784	3469791	deletion	26	4.1508574	1.25	True	NC_000962.3	3480372.0	3480373.0		False	False
QC-7	Mtb151	QC-7	3702019	3702130	deletion	42	4.3238096	0.63414633	True	NC_000962.3	3711736.0	3711737.0		False	True
QC-7	Mtb151	QC-7	3713094	3713632	softclip	12	400.92728	1.7333333	False						
QC-7	Mtb151	QC-7	3725318	3725352	deletion	43	3.8049526	0.53488374	True	NC_000962.3	3738224.0	3738259.0		False	True
QC-7	Mtb151	QC-7	3828127	3828130	het_or_mismap	32	5.4871106	0.20375	True	NC_000962.3	3842341.0	3842344.0		True	True
QC-7	Mtb151	QC-7	3923579	3923659	deletion	45	5.880381	0.79545456	True	NC_000962.3	3936574.0	3936655.0		False	False
QC-7	Mtb151	QC-7	3928613	3928912	deletion	41	3.8049526	0.575	True	NC_000962.3	3941516.0	3941555.0		False	True
QC-7	Mtb151	QC-7	3934443	3934462	het_or_mismap	79	21.586086	0.23699999	True	NC_000962.3	3946822.0	3946843.0		False	True
QC-7	Mtb151	QC-7	3935895	3935950	deletion	50	4.6697145	0.56	True	NC_000962.3	3948440.0	3948496.0		False	True
QC-7	Mtb151	QC-7	3936315	3936380	deletion	42	5.361524	0.82051283	True	NC_000962.3	3949455.0	3949520.0		False	True
QC-7	Mtb151	QC-7	4361963	4362040	deletion	48	5.5344763	0.70212764	True	NC_000962.3	4375627.0	4375704.0		False	False
QC-8	Mtb151	QC-8	189521	189756	deletion	10	103.474525	28.0	True	NC_000962.3	189265.0	189371.0		False	False
QC-9	Mtb151	QC-9	3265171	3266302	softclip	8	345.55612	1.8333334	True	NC_000962.3	3252957.0	3252958.0	start_clamped	False	True
R30396	Mtb151	R30396	3123923	3123978	deletion	87	356.5595	0.8902439	True	NC_000962.3	3122529.0	3122584.0		False	True
S0070-08	Mtb151	S0070-08	1551694	1551695	het_or_mismap	64	837.96466	0.3125	True	NC_000962.3	1547615.0	1547616.0		False	False
S0085-01	Mtb151	S0085-01	3937299	3937305	low_quality	17	190.17145	0.5294118	True	NC_000962.3	3932042.0	3932048.0		True	True
S0085-01	Mtb151	S0085-01	3937310	3937772	het_or_mismap	17	142.62859	0.3888889	True	NC_000962.3	3932518.0	3932905.0		True	True
S0106-01	Mtb151	S0106-01	1639115	1639125	het_or_mismap	37	278.73584	0.27027026	True	NC_000962.3	1634540.0	1634550.0		True	True
S0256-08	Mtb151	S0256-08	2695252	2695253	het_or_mismap	49	963.5096	0.3469388	True	NC_000962.3	2696731.0	2696732.0		False	False
S0262-02	Mtb151	S0262-02	45879	45880	het_or_mismap	53	866.48	0.35849056	True	NC_000962.3	45858.0	45859.0		False	False
TB1236	Mtb151	TB1236	2577176	2578108	softclip	62	250.62943	1.6818181	True	NC_000962.3	2584514.0	2584515.0	start_clamped	False	False
TB1236	Mtb151	TB1236	2996549	2997312	softclip	44	152.28117	1.559322	True	NC_000962.3	3006924.0	3006925.0	start_clamped	False	False
TB1612	Mtb151	TB1612	854986	855241	deletion	197	9.159407	0.92105263	True	NC_000962.3	859243.0	859498.0		False	False
TB1612	Mtb151	TB1612	1529475	1530829	deletion	185	9.001486	1.0058479	True	NC_000962.3	1531006.0	1531007.0		False	False
TB1612	Mtb151	TB1612	1775671	1775715	deletion	317	10.580693	0.6547231	True	NC_000962.3	1774042.0	1774086.0		False	False
TB1612	Mtb151	TB1612	3363871	3363872	softclip	94	53.858517	0.5	False						
TB1612	Mtb151	TB1612	3944547	3944569	deletion	204	5.474588	0.5147059	True	NC_000962.3	3948657.0	3948679.0		False	True
TB1612	Mtb151	TB1612	4084237	4084238	softclip	90	139.32964	1.3333334	False						
TB1612	Mtb151	TB1612	4084553	4084555	het_or_mismap	115	5.1787696	0.23588786	False						
TB1612	Mtb151	TB1612	4084557	4084558	softclip	169	117.08373	0.5976331	False						
TB1612	Mtb151	TB1612	4084667	4084807	het_or_mismap	526	39.879456	0.22126915	False						
TB1612	Mtb151	TB1612	4084872	4085073	softclip	156	290.36765	1.2777778	True	NC_000962.3	4088755.0	4088756.0	start_clamped	False	False
TB2659	Mtb151	TB2659	1806622	1807557	softclip	29	269.05496	1.6	True	NC_000962.3	1813463.0	1813464.0	start_clamped	False	False
TB2661	Mtb151	TB2661	1197792	1198580	softclip	16	178.51495	1.7058823	True	NC_000962.3	1196720.0	1196721.0	start_clamped	False	False
TB2661	Mtb151	TB2661	1569380	1569960	softclip	16	184.09355	1.4166666	True	NC_000962.3	1569771.0	1569772.0	start_clamped	False	False
TB2995	Mtb151	TB2995	482676	483498	softclip	79	857.8647	1.7109375	True	NC_000962.3	485171.0	485172.0	start_clamped	False	False
TB3162	Mtb151	TB3162	4009499	4010238	softclip	146	575.9352	1.7628205	True	NC_000962.3	4018683.0	4018684.0	start_clamped	False	False
TB3237	Mtb151	TB3237	3365647	3365648	softclip	58	313.9538	1.4137931	False						
TB3237	Mtb151	TB3237	3365652	3366112	deletion	1	3.9972248	3.0	False						
TB3237	Mtb151	TB3237	3366117	3366118	softclip	97	414.7291	1.113402	True	NC_000962.3	3379876.0	3379877.0		False	True
TB3251	Mtb151	TB3251	3860747	3861238	softclip	20	592.1076	1.7073171	True	NC_000962.3	3844659.0	3844660.0	start_clamped	False	False
TB3386	Mtb151	TB3386	2131177	2131768	softclip	43	478.14108	2.0	True	NC_000962.3	2150417.0	2150418.0	start_clamped	False	False
TB3386	Mtb151	TB3386	3280707	3281443	softclip	42	463.1992	1.752809	False						
TB3386	Mtb151	TB3386	3880690	3881334	softclip	62	388.48962	1.597561	True	NC_000962.3	3900458.0	3900459.0	start_clamped	False	False
TB3396	Mtb151	TB3396	2316381	2316383	softclip	254	642.6436	0.94466406	False						
TB3396	Mtb151	TB3396	2316471	2316482	het_or_mismap	362	8.993663	0.22928177	False						
TB3396	Mtb151	TB3396	2316570	2317132	softclip	64	410.42786	1.3	False						
mada_1-11	Mtb151	mada_1-11	849911	849912	softclip	79	174.11163	0.5443038	True	NC_000962.3	851475.0	851476.0		False	False
mada_1-11	Mtb151	mada_1-11	3364180	3364469	deletion	110	162.2749	0.94520545	True	NC_000962.3	3379070.0	3379359.0		False	False
mada_1-38	Mtb151	mada_1-38	3554191	3555492	softclip	12	401.0064	2.0714285	True	NC_000962.3	3554039.0	3554040.0	start_clamped	False	True
mada_107	Mtb151	mada_107	150465	150694	deletion	78	27.979284	0.6052632	True	NC_000962.3	150409.0	150638.0		False	False
mada_107	Mtb151	mada_107	674290	674455	deletion	84	27.357523	0.5487805	True	NC_000962.3	673161.0	673326.0		False	False
mada_107	Mtb151	mada_107	2373664	2373730	deletion	65	31.709856	0.83870965	True	NC_000962.3	2352065.0	2352066.0		False	False
mada_107	Mtb151	mada_107	3131698	3132524	deletion	26	28.601048	5.2222223	True	NC_000962.3	3123243.0	3123367.0	start_clamped	False	True
mada_107	Mtb151	mada_107	3854670	3854677	het_or_mismap	201	62.094692	0.21114427	True	NC_000962.3	3847632.0	3847639.0		True	True
mada_107	Mtb151	mada_107	3854758	3854759	softclip	142	1133.285	0.5915493	True	NC_000962.3	3847720.0	3847721.0		True	True
mada_117	Mtb151	mada_117	1336968	1337790	softclip	23	1030.4093	1.7857143	False						
mada_122	Mtb151	mada_122	1805405	1806248	het_or_mismap	83	39.87215	0.35717648	True	NC_000962.3	1802684.0	1802827.0	end_clamped	False	False
mada_124	Mtb151	mada_124	3478590	3479697	softclip	15	965.4953	1.925	False						
mada_124	Mtb151	mada_124	3479720	3479721	het_or_mismap	44	4.639796	0.2090909	False						
mada_124	Mtb151	mada_124	3939033	3940267	het_or_mismap	82	22.101013	0.36607596	False						
mada_2-42	Mtb151	mada_2-42	2153198	2153199	homopolymer	129	293.04868	0.8217054	True	NC_000962.3	2165902.0	2165903.0		False	False
mada_2-46	Mtb151	mada_2-46	3741101	3741151	deletion	33	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741151	3741152	het_or_mismap	26	6.0565286	0.20461538	False						
mada_2-46	Mtb151	mada_2-46	3741152	3741154	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741154	3741195	het_or_mismap	26	9.959624	0.29384616	False						
mada_2-46	Mtb151	mada_2-46	3741195	3741222	deletion	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741222	3741270	het_or_mismap	26	10.363393	0.30307692	False						
mada_2-46	Mtb151	mada_2-46	3741270	3741271	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741271	3741273	het_or_mismap	26	6.527591	0.21538462	False						
mada_2-46	Mtb151	mada_2-46	3741273	3741274	simple_repeat	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741274	3741282	het_or_mismap	26	7.604307	0.24	False						
mada_2-46	Mtb151	mada_2-46	3741282	3741283	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741283	3741286	het_or_mismap	26	6.662181	0.21846153	False						
mada_2-46	Mtb151	mada_2-46	3741286	3741289	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741289	3741354	het_or_mismap	26	11.911172	0.33846155	False						
mada_2-46	Mtb151	mada_2-46	3741354	3741356	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741356	3741363	het_or_mismap	26	6.5948863	0.21692307	False						
mada_2-46	Mtb151	mada_2-46	3741363	3741367	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741367	3741381	het_or_mismap	26	7.671603	0.24153847	False						
mada_2-46	Mtb151	mada_2-46	3741381	3741382	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741382	3741417	het_or_mismap	26	10.0942135	0.29692307	False						
mada_2-46	Mtb151	mada_2-46	3741417	3741418	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741418	3741419	het_or_mismap	26	6.191118	0.20769231	False						
mada_2-46	Mtb151	mada_2-46	3741419	3741420	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741420	3741422	het_or_mismap	26	6.4602966	0.21384615	False						
mada_2-46	Mtb151	mada_2-46	3741422	3741423	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741423	3741424	het_or_mismap	26	5.9219384	0.20153846	False						
mada_2-46	Mtb151	mada_2-46	3741424	3741425	homopolymer	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741425	3741456	het_or_mismap	26	8.815613	0.2676923	False						
mada_2-46	Mtb151	mada_2-46	3741456	3741483	deletion	26	218.15416	2.4230769	False						
mada_2-46	Mtb151	mada_2-46	3741483	3741490	het_or_mismap	26	6.191118	0.20769231	False						
mada_2-46	Mtb151	mada_2-46	3741490	3741495	homopolymer	42	218.15416	2.032258	False						
